Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
10,54.5433,197.888,50.0919,0.275627,1.23615,2.64085,93.3508,1.06617,11.0301,0.156049,17.3013,16.2608,2.93427,24.0853,24.0646,2.21797,1.54354,0.509594,1.98173,38.9692,1.09187,6.06489,0.127443,13.1444,12.9369,1.86118,24.2389,24.6399,2.04328,0.745013,0.0553695,0.149608,16.5523,0.0257824,0.0916775,0.00913377,0.137129,8.40691,0.0578957,0.129848,0.101361,0.133033,0.211988,
11,54.5433,184.551,56.1445,0.295545,1.26544,2.49072,83.3518,0.910756,11.3695,0.178327,15.1658,16.5453,3.17072,23.2546,23.2473,2.11132,1.48969,0.509703,1.66736,40.8157,1.00043,6.79293,0.123349,13.1048,7.2481,1.89989,21.359,21.2333,1.83644,0.813968,0.0553695,0.0957275,16.5523,0.0257824,0.0916775,0.00592875,0.137129,10.4919,0.0578957,0.129848,0.101361,0.161955,0.184401,
12,54.5433,165.55,48.9794,0.329467,1.30313,2.58804,72.7869,0.928305,10.5431,0.192031,12.1228,19.1269,3.16181,19.3621,19.3581,2.42913,1.64754,0.476174,1.62209,38.4251,0.922306,6.52415,0.128791,10.5176,15.1305,1.99029,17.8319,18.0953,2.05642,0.763357,0.0553695,0.149608,11.0507,0.0257824,0.0916775,0.00592875,0.678197,10.9629,0.0578957,0.129848,0.101361,0.152407,0.325442,
13,54.5433,150.382,51.5716,0.362699,1.2674,2.80915,56.8541,0.940296,9.4643,0.229979,9.91271,21.4064,2.85117,20.4986,20.4924,2.13822,1.51681,0.44575,1.74521,34.4118,0.936144,5.93474,0.13445,6.2472,15.4004,2.00776,24.1221,24.1328,1.85615,0.66508,0.0553695,0.149608,2.78317,0.0257824,0.0916775,0.00944722,0.678197,10.4998,0.111368,0.129848,0.101361,0.152407,0.325442,
14,54.5433,142.773,125.556,0.382027,1.29226,2.53388,54.3818,0.978686,8.86512,0.235838,13.2823,19.5759,2.32512,17.9346,17.8918,2.02609,1.45007,0.485144,1.71844,42.6372,1.15778,13.5041,0.106575,18.2506,6.38151,1.80248,32.8614,32.5647,1.73197,0.645401,0.0553695,0.149608,8.59264,0.0257824,0.0916775,0.00944722,0.678197,7.35709,0.0631588,0.129848,0.101361,0.152407,0.325721,
15,54.5433,126.336,41.1669,0.431732,1.26713,2.24756,45.4474,1.05003,7.55554,0.276931,10.8613,23.9102,2.25318,14.15,14.153,1.7836,1.38003,0.485452,1.52166,24.9286,0.976837,6.35268,0.12299,7.3019,14.4606,1.67974,13.975,14.0609,1.43071,0.680248,0.0553695,0.149608,8.62678,0.0257824,0.0916775,0.0124759,0.623829,11.8372,0.0631588,0.129848,0.101361,0.152407,0.230975,
16,54.5433,164.547,228.542,0.331475,1.3268,2.4544,57.0324,1.22984,8.76545,0.257608,13.2831,36.9536,1.99062,19.0237,18.9894,1.9638,1.27657,0.542393,1.74848,53.7423,1.04752,14.3503,0.0996205,22.0736,125.258,1.61143,53.9434,53.4981,1.45924,0.931812,0.0553695,0.0350437,11.1075,0.0257824,0.0916775,0.0124759,0.166917,7.83177,0.0631588,0.129848,0.101361,0.338991,0.230975,
17,54.5433,101.62,19.4072,0.536738,1.28994,2.59237,37.5096,0.921813,5.63777,0.262891,8.02584,21.6173,2.21584,9.26406,9.26854,1.69539,1.31856,0.541203,1.50762,23.4433,0.805357,4.79688,0.07384,6.70995,16.7077,1.58512,10.558,13.4075,1.46068,0.424751,0.045357,0.219072,11.1075,0.0257824,0.0916775,0.0124759,0.166917,13.1332,0.0631588,0.129848,0.101361,0.205499,0.612191,
18,54.5433,126.495,202.32,0.431191,1.73532,3.09163,40.9064,0.993032,8.17156,0.294516,10.3578,22.8036,1.97585,16.2996,16.1893,2.18994,1.48596,3.83546,1.75532,68.9056,0.876886,21.9231,0.108593,13.175,7.53273,1.6442,49.8893,49.2373,2.03418,0.926006,0.045357,0.219072,10.1879,0.0305215,0.0916775,0.161437,0.166917,8.88954,0.0631588,0.129848,0.101361,0.205499,0.513295,
19,54.5433,100.569,37.0441,0.542348,1.06198,2.93891,29.1847,1.07165,4.60985,0.294028,10.076,26.1064,2.346,9.6609,9.65888,2.1015,1.458,0.705253,1.7684,20.6198,1.08988,4.05135,0.0624541,10.5521,13.7718,1.7642,11.4962,10.9163,1.79989,0.392772,0.045357,0.219072,8.93076,0.0305215,0.0916775,0.133486,0.166917,14.258,0.0631588,0.129848,0.101361,0.205499,0.612191,
20,54.5433,122.78,122.011,0.444235,1.14697,3.41124,40.055,0.966463,7.50311,0.307358,14.0797,25.2354,2.17393,11.9993,11.9339,2.34485,1.62314,0.657557,2.51818,75.6014,1.05865,13.4597,0.122231,17.3762,10.2826,1.46406,19.6341,19.8614,2.10324,1.1179,0.045357,0.219072,7.86435,0.0305215,0.0916775,0.0404562,0.166917,9.70934,0.0331192,0.129848,0.101361,0.205499,0.787194,
21,54.5433,152.861,201.948,0.356817,1.02583,2.80932,43.5067,1.18646,5.51733,0.337519,12.8776,52.6289,2.01711,13.7699,13.7459,1.9838,1.45438,0.618515,1.61869,79.7875,1.04882,8.25238,0.136283,15.3106,142.054,1.68292,21.6179,21.8461,1.70255,0.396103,0.045357,0.219072,8.93076,0.0305215,0.0916775,0.114942,0.147069,9.90662,0.0214157,0.129848,0.101361,0.205499,0.643385,
22,54.5433,114.272,153.677,0.477312,1.07012,2.84004,32.1255,0.978367,5.35884,0.320782,9.97744,28.2678,2.01661,13.9505,13.8812,2.07305,1.41154,0.590895,1.34631,56.5444,1.01106,10.5164,0.072002,11.2286,27.4068,1.66516,41.3436,40.9452,1.66649,0.388849,0.045357,0.219072,8.93076,0.0305215,0.0916775,0.196816,0.166917,11.1438,0.0511026,0.129848,0.101361,0.205499,0.425765,
23,54.5433,122.25,186.494,0.446163,1.12804,2.95109,35.648,1.05145,4.72308,0.329001,10.2805,25.7801,1.82963,17.5772,17.576,1.95421,1.42135,0.588511,1.75269,70.9871,0.974591,7.22933,0.090949,10.7808,8.82834,1.46664,51.3774,51.0482,1.59661,0.424803,0.0662855,0.219072,8.93076,0.0305215,0.0916775,0.221725,0.166917,8.83541,0.0849464,0.129848,0.101361,0.462594,0.741146,
24,54.5433,107.49,149.275,0.507426,0.975788,2.99654,28.8014,1.33465,4.85517,0.321271,8.42683,27.0791,1.55023,13.853,13.8445,2.05625,1.39528,0.470457,1.64484,52.8897,1.21013,12.1873,0.0613393,13.1103,8.37055,1.206,38.2431,37.8702,1.55563,0.273218,0.0662855,0.219072,8.93076,0.0305215,0.0916775,0.0801619,0.166917,8.52699,0.0781069,0.129848,0.101361,0.489707,0.884777,
25,54.5433,133.064,226.636,0.409903,0.980162,2.5294,37.3343,1.36116,4.65675,0.335439,11.5693,32.7356,1.6107,18.3143,18.2753,1.98387,1.37773,0.546785,1.41302,76.9849,1.32333,10.5439,0.092882,21.8305,47.194,0.950413,60.2713,60.5442,1.50827,0.228928,0.0662855,0.219072,9.68793,0.0305215,0.0916775,0.144178,0.166917,8.58953,0.118705,0.129848,0.101361,0.489707,0.884777,
26,54.5433,97.5307,79.741,0.559242,0.916347,2.80691,24.9145,1.33186,3.97397,0.301457,11.2553,24.8537,1.63593,10.9921,10.9899,2.25991,1.29882,0.487855,1.42262,22.6955,1.20152,7.4595,0.0801877,20.5063,10.5259,1.10639,21.7733,23.2519,1.90305,0.276219,0.172234,0.219072,9.86631,0.0305215,0.0916775,0.0179934,0.217468,9.52884,0.0808882,0.129848,0.101361,0.249387,0.161792,
27,54.5433,109.419,161.334,0.498482,0.919748,2.52608,38.0361,1.16743,2.75864,0.343728,7.18772,29.1948,1.64471,11.3359,11.2175,1.66633,1.41989,0.37723,2.11597,93.9533,1.16887,4.9425,0.0974145,12.0741,13.5539,1.03508,35.9496,35.7954,1.41874,0.351879,0.172234,0.120282,9.86631,0.0305215,0.0719226,0.220887,0.217468,12.2129,0.0218875,0.129848,0.101361,0.44913,0.874874,
28,54.5433,116.327,203.191,0.46888,0.895283,2.74228,38.7066,1.25517,3.57334,0.333851,9.60358,27.3901,1.47439,13.7019,13.6555,1.62106,1.37379,0.479678,2.52455,93.1408,0.995305,10.7742,0.0720315,23.0398,13.7636,0.986511,43.8007,43.9207,1.21566,0.292993,0.172234,0.510171,7.57719,0.0305215,0.0719226,0.204056,0.217468,5.45631,0.0218875,0.129848,0.101361,0.44913,1.0313,
29,54.5433,117.46,205.629,0.464355,1.13304,2.39359,34.5607,1.17292,3.46798,0.33534,7.77204,27.9198,1.35228,17.1655,17.1248,1.67177,1.3906,0.70665,1.48882,76.3534,1.01481,8.5082,0.0501276,16.8621,7.01132,1.02336,55.4518,55.3908,1.57846,0.203048,0.172234,0.510171,9.46758,0.0305215,0.0719226,0.160966,0.23788,6.65458,0.0155572,0.129848,0.101361,0.348295,0.938858,
30,52.8605,159.603,277.461,0.331201,1.15688,2.80675,45.6889,1.26359,5.96801,0.362276,14.2176,29.5149,1.59173,26.8718,26.7983,1.86249,1.49954,0.61116,2.39278,98.458,1.22396,15.7675,0.108739,33.4363,7.96565,1.16281,75.5133,75.2848,2.15305,0.563585,0.172234,0.627068,9.79493,0.0305215,0.0719226,0.0684199,0.26316,9.04238,0.0208961,0.129848,0.101361,0.371213,1.07711,
31,52.8605,87.1288,121.934,0.606693,1.05652,2.12613,21.2443,1.3249,3.88059,0.356904,5.19334,31.4669,1.14399,8.26626,8.2641,1.40762,1.39728,0.480117,1.03285,49.5658,1.33226,11.4572,0.0473835,13.228,10.7867,1.02057,37.9411,36.7603,1.16577,0.339399,0.172234,0.627068,9.79493,0.0139515,0.0719226,0.238382,0.108874,10.9431,0.0208961,0.129848,0.101361,0.371796,0.843464,
32,52.8605,90.386,154.27,0.58483,1.06803,2.35077,22.9705,1.02147,3.14131,0.35272,4.13661,31.1725,1.28386,9.98902,9.98267,1.53161,1.38498,0.392144,0.896258,58.2437,0.95426,9.75483,0.0342778,14.4542,8.07078,0.956091,37.059,37.072,1.12603,0.176113,0.172234,0.627068,9.96824,0.0139515,0.0916775,0.280493,0.108874,14.334,0.0208961,0.129848,0.101361,0.371796,0.65559,
33,52.8605,81.828,135.285,0.645995,1.09076,2.47317,18.4913,1.20804,2.83364,0.340682,4.12357,29.9198,1.07429,8.76489,8.76414,1.38264,1.36108,0.425002,1.29741,34.4935,1.15003,8.55698,0.0422934,14.5092,4.77955,1.01463,38.4723,38.5201,1.11343,0.16196,0.172234,0.627068,9.85418,0.0305215,0.0916775,0.118091,0.108874,19.4009,0.0208961,0.129848,0.101361,0.371796,0.650595,
34,52.8605,104.761,180.925,0.504582,1.08371,2.07531,30.007,1.23047,2.84352,0.346622,4.318,30.6628,1.07835,14.1583,14.1204,1.46619,1.37025,0.485275,0.997026,67.3397,1.11253,6.57684,0.0456428,9.66187,8.78856,1.02857,49.4405,49.2344,1.34701,0.140846,0.172234,0.147148,9.85418,0.0305215,0.0916775,0.203043,0.108874,11.8926,0.0208961,0.129848,0.101361,0.371796,0.900615,
35,52.8605,120.474,253.764,0.438769,1.26295,2.07525,41.9186,1.34186,6.8126,0.397897,10.8767,30.5894,1.21786,10.5949,10.4821,1.29294,1.61129,1.35064,0.726891,124.123,1.27455,21.933,0.229351,46.185,7.60827,0.970448,50.1183,49.7404,0.962655,1.09199,0.172234,0.00705558,9.43664,0.0284173,0.0916775,0.214587,0.108874,15.6582,0.0208961,0.129848,0.101361,0.371796,1.0828,
36,52.8605,124.252,307.03,0.425431,1.05807,1.89546,20.9154,1.31316,3.5631,0.343191,5.84502,72.3297,0.96285,6.72114,6.70205,1.17952,1.42303,0.450387,1.17357,30.9736,1.27633,9.52367,0.081819,19.4027,293.701,0.872118,16.0099,15.5041,0.82218,0.325692,0.172234,0.165657,9.85418,0.0305215,0.0916775,0.0914553,0.108874,8.07255,0.0220134,0.129848,0.101361,0.371796,1.0828,
37,52.0742,96.5611,178.458,0.539288,1.07045,2.36356,23.0961,1.24084,2.88112,0.339781,3.51156,29.1888,0.935475,14.6345,14.5307,1.36929,1.39889,1.04293,1.53889,53.3603,1.16332,9.74211,0.0459884,8.04935,42.8854,0.975473,55.9638,56.7415,1.23757,0.193672,0.0621272,0.627068,9.782,0.0305215,0.0916775,0.0616931,0.108874,9.50233,0.0233076,0.129848,0.101361,0.282439,1.0828,
38,52.0742,122.939,237.396,0.423577,1.09536,2.46786,38.6131,1.59394,7.8668,0.358849,9.17841,27.7656,0.864076,15.0913,15.0193,1.47239,1.55219,0.952876,1.54745,105.327,1.42957,21.688,0.118397,28.5513,5.38614,0.827391,56.4823,56.1382,1.37289,1.02673,0.172234,0.627068,9.91041,0.0305215,0.0916775,0.194511,0.108874,5.2942,0.0233076,0.129848,0.101361,0.371796,0.990852,
39,50.7501,131.504,255.289,0.38592,1.72475,2.21011,51.9069,1.46719,4.71247,0.376688,7.36848,27.9277,1.03204,15.0318,14.9369,1.38052,1.42853,4.84052,1.64477,127.109,1.48726,13.2106,0.168542,20.2576,8.83512,1.09939,55.6269,55.4835,1.35226,0.565118,0.154781,0.210071,9.60805,0.0305215,0.0916775,0.167012,0.108874,6.70313,0.0283532,0.129848,0.0856862,0.416988,0.720552,
40,50.7501,93.1896,178.741,0.54459,1.01481,2.15126,27.199,1.3317,6.30692,0.340909,3.6904,28.0746,1.17457,9.5646,9.47076,1.32943,1.54058,1.02693,1.13769,77.9007,1.27033,25.2919,0.0889047,7.98899,4.39856,1.80485,49.181,48.706,1.28411,1.14849,0.154781,0.627068,9.73328,0.0305215,0.0916775,0.017406,0.108874,10.3059,0.0255686,0.129848,0.101361,0.416988,1.0828,
41,50.6206,91.9961,162.337,0.550247,0.890186,2.15207,29.4482,1.10606,4.40215,0.353162,6.65676,28.5032,1.00202,7.41771,7.30725,1.29713,1.46019,0.708924,1.22218,82.3232,1.01645,16.8504,0.13359,24.1145,6.79552,0.871173,20.4903,19.924,0.983048,0.775973,0.154781,0.627068,9.46014,0.0305215,0.0916775,0.0185589,0.122563,13.6516,0.0283532,0.129848,0.101361,0.416988,0.82137,
42,50.6206,103.959,194.853,0.486927,1.00138,2.18986,32.4089,1.14323,6.08743,0.350089,5.34153,27.521,1.1026,12.0025,11.958,1.29935,1.55345,0.630696,1.3222,86.362,1.13162,20.269,0.0939472,15.7028,4.91815,1.05193,43.5941,44.0267,1.04437,0.889655,0.154781,0.597338,10.3119,0.0305215,0.0916775,0.17382,0.122563,8.2821,0.0283532,0.11127,0.0880901,0.365523,1.11003,
43,50.5952,95.0935,178.657,0.532057,0.851838,2.61076,33.5159,1.1346,5.07536,0.347561,4.69105,26.5157,0.954291,8.21953,8.13096,1.43326,1.61277,0.619576,2.96635,90.6759,1.28246,17.4344,0.0907302,12.0216,4.85709,1.35236,29.5672,29.4083,1.52593,1.55676,0.154781,0.627068,10.3337,0.0305215,0.0916775,0.0965785,0.203517,6.23778,0.0283532,0.11127,0.0880901,0.535478,0.433544,
44,50.5952,110.575,195.477,0.457562,0.87596,2.14908,48.8713,0.94988,4.86225,0.372575,7.00241,28.6373,0.616714,6.72449,6.6337,1.45296,1.42692,0.797404,1.78414,129.252,1.1555,17.2176,0.152133,20.3793,10.3293,0.789717,20.1328,19.7137,1.54794,0.480287,0.154781,0.577842,9.63351,0.0305215,0.0916775,0.220717,0.0901776,5.56807,0.0231375,0.0762227,0.0578548,0.590228,1.07711,
45,49.7729,88.9615,171.835,0.559488,0.787098,2.37938,24.6794,0.874686,2.3647,0.336516,5.96593,27.3399,0.462163,10.497,10.4958,1.45496,1.3239,0.511697,2.23161,59.7551,1.05043,6.80497,0.040465,19.8362,3.77226,0.594224,44.8974,44.446,1.74798,0.156683,0.154781,0.627068,10.1157,0.012143,0.0916775,0.263301,0.203517,13.3204,0.0176371,0.129848,0.101361,0.588177,0.686203,
46,48.3807,112.166,232.143,0.431332,0.78402,2.09078,38.3193,0.930218,3.98616,0.353655,4.46498,27.0927,0.588437,15.5578,15.3506,1.26843,1.37859,0.66226,2.17494,104.337,1.18404,11.6475,0.0887785,11.4232,3.88161,0.704142,55.5996,54.7847,1.35171,0.171346,0.0894978,0.769571,9.94787,0.0213367,0.390395,0.285424,0.203517,9.14872,0.0184701,0.138593,0.133858,0.588177,1.16833,
47,48.0114,136.886,271.23,0.35074,0.825474,2.6424,42.2183,0.842542,7.36643,0.356214,7.81548,27.4789,0.627576,21.9089,21.7338,1.51034,1.55972,0.869833,3.03222,105.455,0.932471,22.1644,0.132925,20.1756,4.13419,0.812967,70.3955,69.7594,1.6455,1.12048,0.154781,0.769571,9.75985,0.00110088,0.390395,0.0596874,0.118344,9.94836,0.0135309,0.119725,0.0431138,0.588177,0.468356,
48,48.0114,98.4576,214.734,0.487635,0.766871,2.2947,29.3584,0.640347,3.39348,0.346696,4.71929,26.5449,0.516578,13.5473,13.5471,1.35317,1.42869,0.913994,1.78957,76.3667,0.683826,10.7824,0.12733,13.1716,4.68428,0.637882,60.4943,59.9484,1.36477,0.436973,0.154781,0.964246,10.4297,0.0125894,0.390395,0.036942,0.203517,1.98153,0.0135309,0.119725,0.0431138,0.588177,1.20302,
49,47.3491,150.302,296.948,0.315027,0.693421,2.74889,59.7009,0.983266,6.55978,0.377354,7.42637,26.0929,0.536942,21.1852,21.1037,1.35098,1.54196,0.805249,3.40628,142.538,1.10021,19.2472,0.148283,16.7291,5.39013,0.970851,65.1597,66.4445,1.52446,0.984993,0.101478,0.964246,10.4904,0.0213367,0.382218,0.307261,0.203517,7.20088,0.0135309,0.119725,0.0431138,0.588177,0.610268,
50,47.3491,143.212,325.252,0.330621,0.576173,2.5343,54.3382,0.786735,10.1902,0.379505,8.0447,26.201,0.390572,18.6378,18.0692,1.30476,1.75923,0.491174,2.65585,144.99,0.697015,34.9626,0.155933,22.9613,5.64731,0.797972,68.2734,67.1463,1.62726,1.62259,0.154781,0.964246,10.1158,0.0213367,0.395325,0.310458,0.203517,5.86403,0.0135309,0.119725,0.0431138,0.588177,1.12778,
51,47.3491,91.4936,196.956,0.517512,0.588072,1.94258,31.6752,0.702965,6.23573,0.357302,5.45765,27.3878,0.352685,7.11744,7.0646,1.09191,1.51964,0.500405,1.51908,100.488,0.736678,25.722,0.14444,21.2709,4.37832,0.618421,38.0148,37.5033,1.37312,1.05329,0.154781,0.964246,10.1074,0.0213367,0.43086,0.313273,0.14034,3.97937,0.0135309,0.102334,0.0431138,0.588177,1.12778,
52,47.3491,83.3138,158.591,0.568322,0.738392,1.90059,21.0489,0.710985,3.68976,0.348571,4.32095,28.2105,0.356581,9.8411,9.821,0.994282,1.33227,0.98238,2.1175,45.0828,0.965576,13.9714,0.0830586,17.9666,3.17372,0.633522,42.684,42.8061,0.872951,0.228323,0.154781,0.852691,10.2255,0.090389,0.426375,0.310944,0.107422,16.6525,0.0135309,0.102334,0.0431138,0.588177,1.16332,
53,47.3491,73.692,119.645,0.642527,0.651489,1.85225,18.1279,0.618887,2.05864,0.3341,4.89413,27.901,0.449971,7.26785,7.15256,1.03539,1.34775,0.437188,1.18593,29.1159,0.694491,5.70362,0.0326873,17.2084,3.76892,0.772157,34.1238,33.2602,1.0594,0.273948,0.154781,0.852691,9.80623,0.0244644,0.43086,0.16087,0.0854845,4.60758,0.0134708,0.0538163,0.0168227,0.531465,1.16488,
54,47.3491,97.4356,222.85,0.485952,0.717714,1.99462,40.0915,0.690948,6.02978,0.370957,3.68908,27.7392,0.307341,6.54607,6.49221,1.28285,1.48336,0.565303,2.01352,128.518,0.877274,23.7165,0.163516,13.3825,2.64396,0.429008,36.6351,36.4267,1.8953,0.959666,0.166922,0.852691,10.0671,0.0244644,0.514862,0.316145,0.0854845,13.7397,0.0134708,0.0538163,0.0168227,0.588177,1.16488,
55,47.3491,94.2255,188.489,0.502508,0.627961,1.82891,25.1525,0.675163,3.93622,0.338479,5.51628,27.1856,0.449151,13.0364,12.9984,1.23347,1.24698,0.502594,1.4623,55.9925,0.819309,12.504,0.0703455,18.1637,4.46295,0.558221,51.8234,52.7091,1.73482,0.257871,0.102852,0.852691,10.0671,0.0244644,0.357328,0.025912,0.0889722,7.3789,0.0134708,0.0538163,0.0168227,0.588177,0.723713,
