Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
148,1276.17,2858.08,3147.57,0.446514,230.37,0,476.83,7.66836,158.753,1663.02,77.7146,227.599,16.1294,470.87,0,1064.44,1.59652,361.329,986.172,100.584,496.991,29.7792,1.71976,0,2.33859,1.55442,12.0114,1182.85,23.4588,0.709193,2.85209,
149,1276.17,2233.57,2286.62,0.57136,97.6597,0,416.57,7.05043,96.8385,1398.02,112.661,95.8202,8.9471,320.247,0,1008.86,1.89357,247.936,563.673,213.438,320.018,18.1316,1.71976,0,2.33859,0.233284,12.0114,1211.6,23.4588,0.676979,2.85209,
150,1276.17,2795.51,3023.3,0.456507,144.248,0,555.374,7.7164,108.613,1713.03,106.681,142.205,17.6488,354.066,0,1093.28,2.07371,309.916,1045.89,181.216,360.908,30.0155,1.72283,0,2.33859,0.342816,9.3071,1211.55,24.0423,0.676979,2.85209,
151,1276.17,2323.11,2551.04,0.549339,89.2284,0,387.184,7.10423,66.073,1589.6,82.6773,87.0769,14.1633,306.744,0,1015.63,1.8906,195.795,1032.38,157.303,301.258,29.1696,1.72283,0,2.56686,0.469706,2.24248,1211.55,24.0423,0.676979,2.85214,
152,1276.17,2374.51,2559.24,0.537447,105.998,0,440.317,6.78053,83.7564,1523.18,98.0524,103.748,12.6732,288.648,0,1055.58,2.26292,205.707,813.93,186.27,286.243,24.6863,1.7301,0,6.22153,0.362491,9.31629,1211.55,24.0423,0.699324,2.85214,
153,1276.17,2050.44,2228.86,0.622389,64.3761,0,249.31,7.86187,81.9569,1505.76,68.9371,61.6462,10.5891,221.43,0,778.976,1.58773,281.26,949.721,122.647,215.609,25.489,1.7301,0,6.22153,0.560304,6.81946,1211.55,26.6677,0.699595,2.85214,
154,1276.17,2488.73,2730.15,0.51278,130.943,0,296.998,7.42301,136.418,1677.52,97.5448,125.923,15.9602,366.743,0,728.391,1.90233,372.381,1111.14,184.219,360.05,29.9838,1.69587,0,6.22153,1.01702,4.15874,1211.55,26.6677,0.669025,2.85215,
155,1276.17,2788.33,3446.86,0.457683,175.599,0,387.227,8.13484,158.117,1788.3,83.6482,169.683,17.6236,459.748,0,974.31,1.77153,423.022,1364.79,136.805,434.554,33.9965,1.63731,0,6.22153,2.00216,12.1246,1211.46,26.6677,0.605209,2.85215,
156,1276.17,2316.35,2889.46,0.55094,127.422,0,264.632,7.70213,150.823,1570.02,61.3566,122.787,11.61,358.284,0,775.43,1.81922,498.366,1222.82,128.731,344.307,26.5664,1.70051,0,6.22153,0.488364,5.83392,1211.46,26.5726,0.669025,2.8525,
157,1276.17,2400.2,2477.3,0.531694,112.796,0,293.283,7.90962,104.871,1651.65,103.821,110.59,15.2789,342.69,0,658.457,1.75534,310.085,1044.66,198.53,334.855,29.3559,1.70051,0,6.22153,1.78314,6.72259,1211.46,26.5726,0.672717,2.85279,
158,1276.17,2375.69,2582.83,0.537181,94.1705,0,451.832,7.44011,92.9159,1539.91,88.9394,88.392,12.0832,282.791,0,1034.58,1.79413,272.73,926.522,196.173,268.811,25.6228,1.66356,0,6.22153,0.499302,3.61059,1211.46,25.9364,0.646215,2.85279,
159,1276.03,2782,2995.37,0.458672,218.525,0,405.357,7.40365,195.305,1606.88,118.316,215.984,14.2243,468.632,0,783.422,1.70906,391.696,1033.25,227.411,466.133,28.0199,1.6724,0,6.22153,2.18508,12.0967,1211.37,25.9364,0.655717,2.85191,
160,1275.69,2249.65,2851.81,0.567063,131.401,0,219.355,7.43081,115.397,1549.25,89.2123,126.229,11.3777,384.627,0,596.608,1.96262,363.066,1171.39,181.979,371.559,25.8466,1.6724,0,6.22153,0.909172,12.0967,1211.46,25.9364,0.654861,2.85191,
161,1275.69,2693.74,2883.1,0.473576,173.635,0,322.595,7.46045,182.739,1682.58,137.083,171.348,16.3049,389.477,0,662.468,1.99592,388.066,1034.34,234.999,386.57,29.8562,1.69508,0,6.22153,0.800449,12.2025,1211.46,26.1725,0.646422,2.85191,
162,1275.69,2388.44,2400.01,0.534111,167.831,0,297.207,7.60465,97.2329,1553.27,88.1038,163.339,13.8516,379.762,0,739.343,1.6997,255.819,775.37,184.046,373.203,24.4147,1.70073,0,6.22153,1.06928,7.66554,1211.49,26.1725,0.672863,2.85191,
163,1275.53,2738.26,3377.87,0.465818,167.666,0,356.681,7.28515,138.893,1770.23,123.265,158.552,15.6832,409.018,0,935.219,2.13682,374.411,1456.25,228.806,386.966,30.8129,1.68617,0,6.22153,0.817089,7.7194,1211.49,25.6912,0.630973,2.85191,
164,1275.53,2580.88,2808.85,0.494223,150.163,0,402.067,7.20735,70.1105,1665.29,120.94,148.356,16.7428,368.642,0,865.537,2.35826,275.528,1027.91,230.107,365.287,30.1358,1.68617,0,9.24882,0.451286,6.28879,1211.75,25.6912,0.630973,2.85191,
165,1275.53,2441.6,2458.18,0.522417,94.2237,0,361.68,7.38892,155.279,1614.78,105.559,88.425,14.2633,245.253,0,754.612,1.83796,362.071,953.165,191.365,243.208,27.3997,1.68377,0,9.24882,0.78933,6.29197,1211.75,25.6217,0.606974,2.85365,
166,1275.53,2314.58,2587.69,0.551084,148.926,0,305.413,7.30512,95.6818,1522.53,75.8708,146.516,12.3389,373.586,0,774.403,1.96067,312.245,885.119,137.765,359.882,24.6473,1.68377,0,9.47491,0.943683,8.76812,1211.8,25.6217,0.606974,2.85385,
167,1275.53,2603.05,2617.56,0.490014,130.061,0,400.962,7.60768,147.841,1690.8,87.2785,122.598,15.9017,355.75,0,853.192,1.92863,331.299,1006.6,157.637,347.396,29.5356,0.745369,0,9.31169,1.27933,8.1975,1211.81,25.6217,0.235771,2.85397,
168,1275.49,2369.22,2743.47,0.538359,113.938,0,297.826,7.36244,140.877,1577.14,108.12,111.105,12.8538,299.513,0,772.832,2.02443,319.998,1008.84,229.743,294.058,27.0354,1.68377,0,9.47491,0.805693,12.2841,1211.81,25.9949,0.606974,2.85422,
169,1275.45,2775.09,3125.16,0.459608,183.038,0,391.162,7.04686,159.187,1738.01,97.9747,180.471,18.2048,431.793,0,945.915,2.42031,372.797,1140.84,169.578,426.942,31.8559,1.68377,0,9.47491,0.608222,6.25012,1211.81,25.9949,0.606974,2.85471,
170,1275.45,2298.56,2702.63,0.554892,115.565,0,333.986,7.32937,91.1609,1517.55,106.75,113.97,12.2515,351.079,0,882.835,1.78463,266.761,918.571,228.798,349.539,26.258,1.50781,0,9.43794,0.821057,5.40001,1211.81,25.9949,0.603465,2.85476,
171,1275.4,2296.63,2870.6,0.555337,111.355,0,342.05,7.3348,100.609,1537.57,76.9828,108.509,12.2215,340.213,0,879.579,1.90403,323.133,1020.45,160.569,332.213,26.4153,1.66861,0,9.01051,0.288843,12.2852,1211.81,25.9949,0.587878,2.85537,
172,1275.4,2119.1,2444.31,0.60186,74.1043,0,246.432,7.33656,107.982,1516.49,77.2847,77.9173,11.5541,249.694,0,740.794,1.58063,300.93,992.939,173.409,259.88,27.9563,1.65256,0,9.01051,0.971636,10.1609,1211.81,25.9949,0.587878,2.85546,
173,1275.33,2530.12,2769.39,0.504058,173.189,0,426.456,6.81659,109.57,1558.6,70.0192,171.79,13.6785,421.55,0,965.618,2.35166,227.534,930.651,133.101,393.561,27.5361,1.63198,0,9.43794,0.506965,12.2944,1211.83,25.9949,0.551881,2.85512,
174,1275.33,2220.24,2406.69,0.574408,129.205,0,288.002,7.18022,105.282,1480.77,71.9778,127.87,9.95329,344.156,0,813.405,2.36012,343.576,843.499,116.31,335.856,21.5309,1.63198,0,9.89513,0.109037,12.2944,1211.83,25.031,0.551881,2.85508,
