Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
129,203.413,318.849,521.747,0.637961,61.1885,5.59928,13.0396,37.1201,3.36382,17.9291,6.06319,19.0475,19.8565,0,62.4693,2.92641,4.66652,5.9294,59.6496,32.9316,64.8251,17.2874,15.7617,1.76735,22.7406,2.62944,38.5621,50.7648,0,210.361,1.88554,5.82409,21.1642,207.149,37.9679,0.391741,3.83531,11.4174,0.933365,13.1388,5.50114,1.72292,0.837594,0,27.2805,0.346835,1.18872,0.608932,31.0638,
130,202.777,332.213,626.971,0.610381,57.8388,8.70651,11.8827,35.7492,3.52234,18.4923,6.11176,18.0386,16.6129,0,68.1408,3.08767,5.75955,9.03704,69.2332,17.3098,35.0229,21.7478,10.7406,1.70667,25.5801,2.7881,34.6078,42.9342,0,230.86,1.79583,12.9911,34.6881,235.932,37.9679,0.596611,0.620317,11.4392,0.933365,13.1388,5.45166,1.72292,0.837594,0,27.2805,0.346835,1.17296,1.14211,31.0617,
131,202.777,463.16,1551.95,0.437812,58.0746,55.2365,11.2164,42.5627,3.42852,18.8559,5.87915,31.162,35.8387,0,79.4265,2.99892,6.18324,55.8912,56.4056,26.1837,369.568,12.8138,79.6382,1.2699,30.7029,1.40715,158.122,208.978,0,280.995,1.34995,14.3767,372.019,153.044,37.9679,0.596611,3.83531,8.36126,0.933365,13.1388,5.45166,1.56925,0.837594,0,27.2805,0.346835,1.17296,1.14211,31.0617,
132,202.777,436.288,1248.97,0.464778,58.3747,73.8878,9.82546,34.3807,3.51473,17.1694,5.75049,24.9013,19.7703,0,55.059,3.08404,4.53849,74.5425,51.489,30.1527,412.714,5.83263,9.26414,1.40358,19.0732,1.33527,82.9537,83.4998,0,146.435,1.47737,4.06738,415.185,147.078,37.1952,0.596611,2.52685,2.94977,0.933365,13.1388,3.41426,1.56925,0.563624,0,27.2805,0.346835,1.17296,1.14211,31.0638,
133,193.952,241.446,196.446,0.80329,56.1541,6.72789,10.8638,35.3203,3.51966,15.4578,5.67551,11.8057,10.0133,0,37.1744,3.08678,5.00476,7.03733,33.6051,24.6699,70.3522,15.0156,2.69574,1.15847,11.5009,0.41322,17.4105,15.1395,0,58.0631,1.23091,7.53764,65.9516,25.9637,37.1155,0.667366,3.83531,33.9673,0.933365,13.1388,5.37641,1.56925,0.563624,0,27.2805,0.346835,1.17296,1.14211,31.0638,
134,193.952,442.74,1525.86,0.438071,57.6969,43.4275,11.7209,34.3687,3.67139,15.8338,6.12361,44.0666,56.4774,0,37.8823,3.25939,6.21442,43.7732,78.224,32.9953,268.695,16.4159,4.30194,1.4603,10.2781,2.74572,326.626,455.647,0,42.5074,1.58992,15.2967,264.088,270.253,37.1155,0.173689,2.66309,8.62535,0.818034,13.1388,5.37641,1.05356,0.563624,0,27.2805,0.18827,1.17296,0.334948,31.0818,
135,190.773,442.36,1616.4,0.431261,54.9086,56.4764,12.496,34.5324,3.84829,17.9694,5.73277,38.717,46.3354,0,55.4647,3.42778,5.87999,57.0735,49.4977,26.5126,376.978,26.2715,3.71604,2.7662,27.6682,1.21932,237.696,321.17,0,198.397,2.89127,9.15718,377.689,142.229,37.1155,0.173689,3.83531,6.85786,0.818034,13.126,4.23305,1.05356,0.563624,0,27.2805,0.18827,1.17296,0.334948,31.0818,
136,190.773,338.306,1237.77,0.563905,82.1469,24.7858,11.2196,34.7175,3.67411,15.5187,5.78013,24.103,12.7913,0,42.4452,3.23557,5.42561,25.1282,47.3347,322.083,208.836,19.6411,2.81392,1.54661,13.481,1.62713,153.468,61.9026,0,105.835,1.64326,6.58634,210.937,156.64,37.1155,0.173689,3.83531,7.03457,0.691446,13.1388,5.35208,1.0295,0.563624,0,28.6842,0.0103468,1.17296,0.334948,31.0818,
137,190.773,445.054,1363.73,0.428651,54.9647,55.1792,10.4773,52.8992,3.72907,19.794,5.74986,36.924,42.8721,0,44.4115,3.29398,7.87505,56.0008,50.8832,46.0095,373.495,10.8729,182.743,1.58485,37.6164,1.09737,180.443,247.65,0,72.1904,1.64054,27.3934,372.957,116.183,37.1155,0.624576,3.83531,15.6857,0.707325,13.1388,3.8592,1.0295,0.481128,0,29.3157,0.0103468,1.17296,1.30489,31.0818,
138,190.504,260.674,504.683,0.730814,49.53,7.89246,11.6072,34.7349,3.56593,17.0079,5.8495,14.382,13.6757,0,35.1687,3.13507,4.71155,8.23599,51.1768,14.8114,62.2574,23.8174,17.7781,1.6188,29.9483,2.33346,68.382,70.2744,0,30.5136,1.70071,2.74071,62.9644,195.709,37.1155,0.624576,3.83531,11.003,0.620775,13.1388,5.35208,1.0295,0.481128,0,29.3157,0.0103468,1.17296,1.30489,31.0818,
