Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
176,740.387,1091.81,1363,0.678127,10.3617,0,46.5664,61.3187,5.6247,754.251,61.8979,104.129,47.6616,14.8676,0,206.979,244.996,2.61209,484.931,247.566,216.225,211.742,2.68426,0,1.16968,0.753389,3.7211,656.596,1.37446,33.0385,0.923122,
177,740.387,1680.28,9404.46,0.440633,10.8781,0,668.056,42.3147,5.9842,764.092,42.8879,101.169,44.8971,18.6665,0,8624.03,181.591,4.22214,522.123,184.41,223.474,176.001,2.68426,0,1.16968,0.753389,3.84111,656.596,1.37446,30.2561,0.923122,
178,740.387,1214.1,2208.28,0.609823,10.1595,0,193.422,48.1495,5.66775,742,48.5732,130.741,35.3899,14.9691,0,1631.88,186.103,3.00092,413.033,186.341,306.615,140.393,2.68426,0,1.16968,0.753389,3.90509,656.596,1.37446,33.0385,0.923122,
179,740.387,1361.2,2458.92,0.543922,12.2625,0,117.363,80.1048,6.00072,839.491,81.9127,133.167,90.9001,19.4179,0,916.16,307.998,3.96975,735.811,313.045,306.982,377.706,2.68426,0,1.16968,0.753389,3.56806,656.596,1.37446,33.0385,0.923122,
180,740.387,1214.54,2233.03,0.609605,10.984,0,148.51,62.389,5.94754,765.194,62.8267,115.189,43.4963,17.7267,0,1417.08,240.926,3.82807,519.725,244.085,257.364,193.08,2.68426,0,1.16968,0.753389,3.90509,656.596,1.37446,33.0385,0.923122,
181,740.387,1326.55,2013.56,0.558129,11.9573,0,147.221,75.887,5.97736,812.736,76.4459,131.332,64.9966,19.1839,0,818.368,260.401,3.9662,604.704,262.239,286.361,276.391,2.68426,0,1.16968,0.753389,3.41131,656.596,1.37446,33.0385,0.923122,
182,740.387,1676.66,7972.5,0.441585,9.35061,0,651.839,52.4816,6.02412,732.008,53.0511,123.129,48.7733,11.0715,0,7309.8,216.712,4.10305,346.529,217.665,284.468,210.575,2.68426,0,1.16968,0.753389,3.90509,656.596,1.37446,33.0385,0.923122,
183,740.387,1294.97,3703.55,0.571742,9.59705,0,257.901,52.9082,5.94382,740.84,53.5842,117.923,56.27,12.001,0,3136.96,194.052,3.7685,366.007,195.446,264.06,220.195,2.68426,0,1.16968,0.753389,3.90509,649.373,1.37446,33.27,0.923122,
184,740.387,1180.29,2079.96,0.627291,11.1305,0,149.151,43.5329,6.02599,770.629,44.079,114.062,41.682,17.6894,0,1434.42,160.906,4.29514,473.042,163.316,256.19,157.403,2.68426,0,1.16968,0.753389,3.75355,656.596,1.37446,33.27,0.923122,
185,740.387,1101.19,1581.73,0.67235,9.13696,0,101.432,51.6995,5.6462,719.793,51.2183,110.201,52.0649,10.0629,0,713.049,205.745,2.94536,296.4,201.144,256.099,188.838,2.68426,0,1.16968,0.753389,3.66448,656.596,1.37446,33.27,0.923122,
186,740.387,1583.08,5453.84,0.467687,10.6003,0,502.445,49.4867,5.76898,803.428,50.5761,102.666,58.1113,17.1348,0,4746.95,224.115,3.23102,929.429,228.834,234.098,308.996,2.68426,0,1.16968,0.753389,3.50535,656.596,1.37446,33.27,0.923122,
187,740.387,1166.46,2183.56,0.634732,10.5621,0,148.347,48.083,5.97024,753.873,49.3156,104.635,45.6713,17.1257,0,1547.95,188.759,3.91793,467.144,191.67,236.095,175.14,2.68426,0,1.16968,0.753389,3.90509,656.596,1.37446,33.27,0.923122,
188,740.387,1179.66,2315.94,0.627628,9.34568,0,180.471,51.1296,5.68115,728.765,51.6056,107.296,45.3647,12.936,0,1437.65,201.298,3.18988,373.739,201.449,250.369,176.42,2.68426,0,1.16968,0.753389,3.90509,640.749,1.37446,33.27,0.923122,
