Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
16,57.1699,80.9705,79.0796,0.706058,0.895649,9.05701,35.5674,3.48086,0.807314,0.655978,0.830825,8.33001,0.318531,19.0401,0.426988,1.55982,0.520501,29.2235,25.9671,7.62375,0.823722,0.508394,1.99744,18.0093,0.0468862,2.87607,0.473955,0.292509,0.224309,0.129848,26.4131,0.0916775,0.0305215,0.0421377,0.110566,0.138386,0.0840718,3.71279,0.188898,0.762592,
17,57.1699,80.5453,60.6647,0.709785,0.823214,5.73877,37.6008,4.0462,0.836889,0.671606,0.64304,8.77372,0.316662,19.1074,0.406145,1.58077,0.495612,14.3612,25.5693,6.81753,0.960614,0.540332,1.78074,18.5421,0.044706,2.64289,0.400799,0.328143,0.102386,0.129848,26.9299,0.0916775,0.0305215,0.0409849,0.110566,0.0368672,0.093503,10.9254,0.188898,0.753283,
18,57.1699,99.7164,113.396,0.573325,0.968453,10.7722,40.7461,5.47629,0.864308,0.647569,0.689315,15.0007,0.334438,22.1085,0.463525,1.64501,0.783408,34.1386,38.4367,11.0871,1.18789,0.585461,1.6455,32.0982,0.127948,13.5907,0.582742,0.605186,0.186198,0.129848,26.9299,0.0916775,0.0305215,0.0409849,0.135527,0.0368672,0.0809876,10.8129,0.0511511,0.650478,
19,56.7263,104.721,104.2,0.541687,1.2809,15.4323,41.9448,7.05655,0.829151,0.770502,0.886851,13.7113,0.309739,20.3854,0.466875,1.64713,1.30941,38.496,32.7658,13.0363,0.951503,0.68799,1.72024,27.8235,0.0692414,17.8842,0.500062,0.371303,0.106416,0.129848,23.7444,0.0916775,0.0305215,0.0409849,0.137359,0.0368672,0.0784339,7.78171,0.119949,0.97461,
20,55.5189,80.5207,72.442,0.689499,0.95583,11.8297,31.8134,4.7703,0.658846,0.522947,0.712115,7.70334,0.323308,19.1972,0.389865,1.64383,0.928848,37.0269,12.4667,10.2054,0.940498,0.522338,1.65156,21.3764,0.0880061,3.07583,0.382039,0.430727,0.0828722,0.129848,26.9299,0.0916775,0.0215555,0.0409849,0.137359,0.0276655,0.0264837,2.41211,0.188898,1.10211,
21,54.7749,73.5888,61.2377,0.744338,0.723378,6.15732,31.4809,4.07879,0.646534,0.570866,0.735294,6.38405,0.317262,20.5132,0.406263,1.57491,0.358616,24.4683,8.83732,9.83475,1.27143,0.466842,2.00485,20.2472,0.0776804,7.68654,0.442059,0.48276,0.212429,0.129848,27.5867,0.0916775,0.0119134,0.0421377,0.137359,0.0368672,0.00768007,17.1118,0.188898,0.777063,
22,54.7749,80.3271,65.6625,0.681898,0.809059,9.73818,33.3583,4.4808,0.819929,0.604921,1.02126,6.77259,0.325852,20.4678,0.488024,1.44043,0.514616,29.7512,14.292,8.38142,1.44936,0.505721,2.2308,15.6645,0.101526,13.1959,0.621601,0.357344,0.0304562,0.129848,25.4471,0.0916775,0.0119134,0.0421377,0.137359,0.0368672,0.125973,4.86737,0.188898,0.12973,
23,54.7749,86.5704,102.961,0.632721,0.911993,8.5462,35.6544,4.30133,0.699741,0.682664,0.575603,9.17204,0.320884,23.7473,0.433888,1.52435,0.880837,30.9585,22.1472,11.769,1.28073,0.549934,1.34737,26.3421,0.0719751,38.1844,0.528478,0.324589,0.201084,0.129848,27.5867,0.0916775,0.0119134,0.0421377,0.137359,0.0368672,0.165932,1.24125,0.188898,0.517192,
24,54.7407,70.0706,52.7466,0.781223,0.734462,4.06543,33.1802,2.57873,0.464769,0.569399,0.3503,7.18299,0.315543,18.8023,0.341801,1.48466,0.650103,14.953,19.0369,7.12756,0.798466,0.485567,0.289209,18.6244,0.0381806,3.61233,0.234005,0.183137,0.0177967,0.129848,27.5867,0.0916775,0.0119134,0.0421377,0.151196,0.0511516,0.0698862,4.61505,0.174718,1.09759,
25,53.8393,73.0515,54.7981,0.737005,0.862527,4.17072,35.0318,2.16694,0.619461,0.581137,0.683411,7.42758,0.313296,19.3179,0.405432,1.47133,0.823836,12.5559,22.1854,3.8912,1.18372,0.528467,1.65564,20.5623,0.0457679,4.29766,0.345886,0.154553,0.131172,0.0244544,27.5867,0.0916775,0.0119134,0.104814,0.129826,0.0511516,0.0218873,11.1006,0.188898,1.13856,
26,53.8393,73.8269,73.3243,0.729264,0.796325,5.94822,34.2905,2.94347,0.440705,0.664112,0.808622,6.75875,0.303905,18.9555,0.433587,1.48327,0.940707,25.1411,20.7495,8.52648,0.781693,0.55327,2.11429,21.9491,0.0457727,2.38996,0.547729,0.310876,0.131172,0.0244544,28.0535,0.140462,0.00796339,0.0724548,0.135515,0.00868558,0.0796665,7.4291,0.263455,1.19914,
27,52.7599,70.015,58.126,0.753552,0.698068,4.79931,34.9281,3.43445,0.428697,0.591588,0.367705,4.45564,0.31321,18.2072,0.3832,1.40777,0.464501,21.4132,19.2325,10.1467,0.828543,0.517621,0.696045,12.5548,0.0934728,3.04301,0.351972,0.274108,0.02211,0.0244544,28.477,0.140462,0.00796339,0.0724548,0.135515,0.00868558,0.0334494,2.81198,0.251662,0.338069,
28,52.0739,85.7691,131.589,0.607141,0.713943,5.73861,33.795,2.76246,0.571924,0.631382,0.576273,8.77217,0.317618,29.9735,0.411219,1.50497,0.524964,26.1401,17.3555,7.727,1.40217,0.503565,1.14929,28.9407,0.0359914,82.9644,0.399983,0.467103,0.109575,0.0244544,28.1778,0.140462,0.00796339,0.0724548,0.135515,0.00868558,0.249008,1.36695,0.263455,1.08716,
29,52.0739,84.4093,86.2717,0.616922,0.756758,7.76766,36.8051,4.04104,0.625338,0.66675,0.967767,11.5723,0.307578,18.9283,0.447173,1.52352,0.858405,28.0013,23.8338,9.72456,1.27299,0.569736,2.14821,30.9747,0.0660705,13.3954,0.481591,0.541654,0.109575,0.0705712,28.1778,0.140462,0.00796339,0.0490542,0.147801,0.00868558,0.0196988,3.93535,0.271189,0.66903,
30,52.0739,78.4697,78.453,0.663618,0.564604,8.77499,32.106,4.19863,0.501701,0.640087,0.838804,9.71384,0.309782,18.9374,0.476716,1.40718,0.535672,35.3996,16.1504,11.2128,1.06246,0.520972,1.92584,28.999,0.0537654,3.72456,0.58756,0.458605,0.0381487,0.055336,11.3333,0.140462,0.00796339,0.0458998,0.147801,0.0271163,0.0727713,2.2981,0.271189,0.545843,
31,52.0739,79.9237,84.5743,0.651546,0.646444,8.09588,34.2824,2.16493,0.602481,0.566651,0.421177,8.21346,0.29911,22.8242,0.422202,1.38467,0.566667,26.4353,14.3038,5.54005,1.37438,0.486512,0.612458,25.1244,0.0696954,30.9929,0.449318,0.172318,0.109575,0.055336,28.1778,0.159174,0.0137047,0.0458998,0.147801,0.0271163,0.0240294,7.61854,0.271189,0.635449,
32,52.0739,85.438,88.8228,0.609494,0.612396,12.3317,36.6944,4.09297,0.613957,0.557762,0.583895,9.40186,0.305715,18.2197,0.555065,1.46861,0.818723,36.3586,21.0305,11.4759,1.36766,0.492833,1.23739,27.2807,0.0972934,6.51319,0.743195,0.351937,0.109575,0.055336,27.8917,0.159174,0.010624,0.0458998,0.12918,0.0253318,0.0282439,3.77869,0.271189,1.17952,
33,52.0739,79.0693,73.2389,0.658586,0.572779,5.39812,36.9356,4.04188,0.599146,0.512486,0.729019,7.679,0.341178,20.3836,0.440029,1.43642,0.738179,17.4088,22.7954,10.3138,1.34479,0.480232,1.67582,22.6253,0.13633,8.47369,0.508178,0.4017,0.13701,0.0400374,27.7864,0.159174,0.010624,0.0458998,0.136928,0.0253318,0.0137836,0.659189,0.198648,0.316715,
34,52.0739,79.0402,93.0461,0.658828,0.476704,9.68109,35.2331,3.2791,0.409125,0.477887,0.830763,7.6004,0.308642,18.8261,0.436214,1.48111,0.324675,36.014,22.9161,10.5379,1.11971,0.511296,2.0482,27.7037,0.0493392,2.64837,0.565023,0.449325,0.13701,0.0234939,27.747,0.159174,0.00632987,0.0458998,0.136928,0.0253318,0.129403,8.07002,0.27626,1.31616,
35,51.5955,98.4504,155.53,0.524077,0.631701,10.4982,36.9507,3.77335,0.581829,0.457963,1.12333,9.5815,0.314721,32.576,0.52312,1.43795,0.940895,39.0093,23.928,9.65868,1.20991,0.5751,2.8725,28.1437,0.0826634,90.6877,0.658397,0.41312,0.13701,0.0234939,27.426,0.0507262,0.010624,0.0287514,0.134994,0.00802811,0.0539134,10.2908,0.28328,0.398228,
36,51.5678,68.4201,63.8565,0.753694,0.539611,6.89426,32.3569,2.2203,0.37928,0.299279,0.479005,4.13267,0.314138,19.0473,0.366485,1.39079,1.01166,27.3713,15.846,8.67442,1.0007,0.40152,1.83953,19.1096,0.0605805,13.7623,0.33478,0.193251,0.0395081,0.0345396,27.2559,0.0507262,0.010624,0.0287514,0.126178,0.00802811,0.0395185,3.31385,0.281591,0.435105,
37,51.5678,75.364,95.7088,0.684249,0.37659,3.04192,29.9929,2.76174,0.38335,0.293892,0.654943,5.36304,0.33794,30.2475,0.391669,1.51856,0.280177,11.3864,5.58832,9.74097,0.995684,0.409262,2.04838,21.5638,0.0771934,50.6303,0.382049,0.615718,0.0693263,0.0345396,27.426,0.0507262,0.010624,0.0287514,0.12855,0.00802811,0.0650591,18.6726,0.27978,1.303,
38,51.3426,87.0827,95.3692,0.589584,0.476742,12.029,36.5656,2.58843,0.520768,0.38366,0.624386,10.3721,0.325126,21.3055,0.518504,1.37281,0.541491,35.5934,26.0911,6.63147,1.18667,0.583221,1.47467,28.1871,0.068211,15.2909,0.627039,0.300599,0.102365,0.0345396,11.3218,0.0507262,0.010624,0.0287514,0.128056,0.00523444,0.0751383,5.99536,0.281591,0.0352187,
39,51.3426,60.9701,43.7963,0.842094,0.32158,4.01166,30.3971,1.58095,0.280075,0.236365,0.430974,1.9325,0.332912,19.5957,0.361009,1.48924,0.169271,21.0809,15.0787,7.34565,0.998534,0.405511,1.67348,11.9441,0.0214443,3.23418,0.375301,0.564256,0.102365,0.0222983,27.7353,0.0507262,0.010624,0.0287514,0.128056,0.00523444,0.205162,2.96684,0.28797,1.30096,
40,51.3426,78.2006,132.332,0.656549,0.466353,4.70807,31.252,1.81764,0.336012,0.25237,0.580445,4.72105,0.335441,31.8975,0.37627,1.45742,0.848646,20.2057,14.3938,5.92077,1.07905,0.396621,1.68166,20.118,0.0433957,84.7194,0.345233,0.654271,0.151514,0.0222983,27.7353,0.0507262,0.00366371,0.0287514,0.13124,0.00523444,0.115533,12.1431,0.288173,1.23558,
41,51.3426,91.4554,134.711,0.561395,0.403786,9.58947,34.325,3.05676,0.462197,0.295527,0.91293,8.44068,0.342221,31.6497,0.473526,1.50354,0.394729,35.2619,20.6893,9.68804,1.19529,0.504958,2.54467,27.5748,0.055731,63.3534,0.565097,0.965665,0.0542749,0.0222983,27.7353,0.0507262,0.00381803,0.0287514,0.13124,0.00523444,0.125981,8.33421,0.288293,0.718593,
42,51.3426,81.285,97.5033,0.631636,0.427423,6.32614,37.2476,3.15672,0.500515,0.313727,0.80778,9.29545,0.356884,20.9589,0.445811,1.44812,0.493975,22.7716,30.9383,9.68632,1.30954,0.527861,2.33953,29.1909,0.129359,13.9385,0.516415,0.397047,0.160523,0.0222983,27.4767,0.0507262,0.00381803,0.0287514,0.130954,0.00523444,0.124287,0.0835808,0.288314,1.08741,
43,51.2349,71.2132,68.1684,0.719458,0.443661,6.84836,32.3158,2.44828,0.384863,0.280349,0.437765,5.71375,0.335083,20.2105,0.427785,1.3671,0.68698,29.8325,22.1248,8.11715,1.13615,0.56827,1.27706,20.8502,0.0336105,4.51789,0.472572,0.20683,0.160523,0.0222983,16.0567,0.0507262,0.00381803,0.0287514,0.130954,0.00523444,0.228918,7.40713,0.287707,0.672167,
44,51.2196,70.7412,67.2608,0.724042,0.498128,7.14329,31.3773,2.40285,0.472893,0.281218,1.09061,5.81942,0.315538,19.4646,0.415855,1.45949,0.880187,25.012,14.9452,7.57746,1.34807,0.528242,3.36912,21.7942,0.0768019,3.5849,0.414302,0.514715,0.160523,0.0222983,27.6224,0.0922747,0.00293342,0.0307695,0.129473,0.00523444,0.00808499,2.64656,0.289073,0.993249,
45,51.1585,69.6895,66.5862,0.734092,0.414347,3.18735,34.7399,2.94548,0.346522,0.270951,0.690446,5.05964,0.334031,19.8594,0.419818,1.4215,0.725516,13.8595,29.0332,9.63074,1.11782,0.536906,2.05427,18.321,0.0541407,3.30388,0.443647,0.386692,0.0618618,0.0222983,26.221,0.0922747,0.00222241,0.0282053,0.129473,0.00523444,0.0572642,6.54338,0.288602,0.717168,
46,51.1585,62.1188,53.0285,0.823558,0.28765,4.21495,29.9492,1.26732,0.172949,0.187937,0.295533,4.10397,0.330998,19.589,0.374076,1.34524,0.129249,26.3833,13.97,5.47957,0.523202,0.412974,0.874084,19.5105,0.0370256,3.20779,0.388068,0.139714,0.15521,0.024775,23.875,0.0922747,0.00293342,0.0282053,0.129473,0.00523444,0.109862,2.75315,0.289428,0.521447,
47,51.1009,81.1869,87.4951,0.629422,0.65758,8.5413,34.5167,3.38812,0.55682,0.343716,0.641687,10.2829,0.320936,20.0293,0.475007,1.43285,1.18212,34.2513,21.9413,9.18391,1.40773,0.644153,1.86978,28.1008,0.0698336,7.56789,0.53836,0.401137,0.15521,0.024775,27.6224,0.0952981,0.00293342,0.0282053,0.129473,0.00523444,0.0105079,2.56808,0.28969,0.621066,
48,51.1009,74.0933,79.8252,0.689683,0.387075,9.01305,30.928,2.97355,0.315686,0.254458,0.336917,6.32971,0.33065,21.4264,0.403116,1.39462,0.505171,30.9822,12.856,9.7496,1.00293,0.531033,0.760584,23.3936,0.0597511,13.2969,0.473135,0.277468,0.15521,0.024775,23.1395,0.102412,0.00293342,0.0253166,0.130229,0.00523444,0.0483201,5.0613,0.286018,0.593119,
49,51.1009,73.4974,82.0654,0.695275,0.385483,6.75827,32.0867,2.22342,0.399692,0.259101,0.428392,8.73469,0.330966,19.993,0.411736,1.48589,0.43957,31.7672,17.6835,7.28208,1.2146,0.523693,1.68673,30.9929,0.0450995,3.38802,0.437166,0.53538,0.15521,0.024775,27.7751,0.103939,0.00293342,0.0282053,0.129497,0.00523444,0.0919664,5.02106,0.291304,1.30892,
50,51.0583,109.969,368.939,0.464297,0.283127,2.34939,30.7636,1.96102,0.11569,0.169541,0.309096,2.75453,0.340054,69.1751,0.336406,1.41144,0.186747,13.8915,14.3113,8.79647,0.453446,0.37354,0.792218,15.1735,0.0455721,347.857,0.24044,0.421368,0.0167859,0.024775,27.8509,0.0958985,0.00293342,0.0262509,0.128425,0.00500935,0.1548,7.27881,0.291634,1.19666,
51,51.0583,69.1297,71.3485,0.738587,0.399595,1.78737,34.2537,1.34836,0.310963,0.191596,0.45332,7.22765,0.341172,21.0772,0.398011,1.34078,0.728607,7.39724,24.7465,5.76172,1.07294,0.420708,1.53253,28.0011,0.0772845,48.1645,0.448368,0.147276,0.125452,0.024775,27.8408,0.0958985,0.00293342,0.0282053,0.128425,0.00692819,0.0399901,11.0133,0.291025,0.774123,
52,51.0161,71.5166,104.661,0.713346,0.259825,1.89938,29.7931,1.18436,0.157337,0.147785,0.326634,4.52891,0.350093,31.1308,0.380662,1.35784,0.103139,8.78582,9.78138,5.16001,0.581247,0.33532,0.897842,22.1824,0.0640815,61.5965,0.422277,0.136477,0.15521,0.024775,27.8402,0.0872377,0.0021726,0.0200434,0.128425,0.00523341,0.336377,20.0586,0.29166,0.681194,
53,50.9795,61.0975,49.3918,0.834395,0.335481,6.29959,28.4453,1.81194,0.275542,0.145124,0.224598,1.61731,0.329945,19.8181,0.349845,1.44471,0.431246,30.8872,2.61631,8.56051,1.1524,0.371119,0.399529,8.05421,0.0457869,11.4863,0.29189,0.476877,0.15521,0.0468821,27.8402,0.0934123,0.0021726,0.0200434,0.128425,0.00646812,0.0923373,7.31178,0.29166,1.33248,
54,50.9795,71.6228,95.5381,0.711777,0.280253,1.71474,32.4458,1.32129,0.278076,0.136748,0.359709,5.4409,0.346921,27.5589,0.369836,1.36967,0.163625,8.05161,19.1059,5.4519,0.948483,0.276486,0.889624,21.7331,0.0498995,54.6063,0.310892,0.118592,0.101812,0.0468821,27.7329,0.0941191,0.00297339,0.0200434,0.12983,0.00646812,0.302992,7.03489,0.291802,1.17825,
55,50.9422,78.7113,89.798,0.647203,0.50482,8.64433,33.7086,2.92764,0.467706,0.223199,0.733769,8.24868,0.345014,21.0507,0.490266,1.36657,0.793296,39.6067,27.8916,8.40276,1.38868,0.477775,2.30124,27.1153,0.138214,9.50213,0.630521,0.183193,0.196198,0.0483435,21.2123,0.0941191,0.00308075,0.0200434,0.130526,0.00646812,0.0291498,2.26217,0.29093,0.459429,
56,50.914,76.4255,88.7199,0.666191,0.468606,8.54164,31.9279,2.27193,0.31465,0.179367,0.495628,7.10049,0.346061,22.9084,0.468659,1.40221,0.860654,39.4531,16.9099,7.83445,1.08245,0.436606,1.68299,25.2482,0.0703254,20.2209,0.602876,0.466945,0.196198,0.0483435,27.821,0.0941191,0.00308075,0.0200434,0.130526,0.00683625,0.188675,10.4227,0.29093,0.392297,
57,50.914,73.3802,68.0962,0.693838,0.465507,8.98303,31.8815,2.65137,0.310605,0.200217,0.467475,6.26681,0.33711,20.001,0.424634,1.3909,0.694747,30.2891,16.8335,7.99523,0.977507,0.464817,1.11744,19.707,0.0625691,6.06868,0.429952,0.283175,0.180898,0.0449862,13.4591,0.0866306,0.00308075,0.0200434,0.130526,0.00683625,0.18135,4.29215,0.291439,0.567074,
58,50.8063,68.0332,70.287,0.746787,0.297701,1.55219,34.6325,2.15471,0.315955,0.13035,0.439673,4.66812,0.372095,21.7389,0.389311,1.34182,0.31533,9.53393,27.316,8.08996,1.1744,0.346021,1.32734,19.5028,0.143302,14.8333,0.415297,0.136436,0.157005,0.0449862,27.8263,0.0997601,0.00153008,0.0200434,0.130526,0.00537064,0.336271,8.78075,0.291397,0.485785,
59,50.8063,62.9435,58.724,0.807174,0.381088,5.51135,29.8294,1.44727,0.157492,0.11931,0.21897,3.56366,0.327182,19.6124,0.335354,1.43994,0.971229,26.4003,9.21154,6.56623,0.685643,0.369754,0.443023,18.1716,0.0657545,3.09159,0.242845,0.42401,0.157005,0.0449862,27.846,0.101216,0.00153008,0.0163341,0.130148,0.00524444,0.0427981,6.68499,0.290928,1.33719,
