Individual,Heave.front.side_view_swing_arm_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.toe_angle_l,Heave.front.mechanical_trail_l,Heave.front.scrub_radius_l,Heave.front.motion_ratio_heave_l,Heave.front.roll_center.z,Roll.front.camber_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,Steering.front.camber_angle_l,
13,0.0981613,0.00162078,0.127371,0.121535,0.004587,0.021365,27.9981,0.33807,20.0319,0.300265,0.0162904,1.34339,
14,0.0981813,0.00162262,0.127337,0.121448,0.00458152,0.0213658,27.9981,0.338069,20.032,0.300266,0.0163017,1.34344,
15,0.0981666,0.00163098,0.127456,0.12151,0.00462587,0.0213654,27.9981,0.338069,20.0319,0.300267,0.0162583,1.34335,
16,0.0982121,0.00160297,0.127128,0.121769,0.00451597,0.0213648,27.9981,0.33807,20.0319,0.300258,0.0163477,1.34341,
17,0.0981823,0.00160093,0.12724,0.121592,0.00460371,0.0213647,27.9978,0.338077,20.0323,0.300264,0.016331,1.34344,
18,0.0981808,0.0016162,0.127458,0.121384,0.00456416,0.0213658,27.9985,0.338063,20.0317,0.300267,0.0162627,1.3434,
19,0.0981841,0.00162057,0.127238,0.121611,0.00455607,0.0213648,27.998,0.33807,20.0321,0.300261,0.0163036,1.34342,
20,0.0981856,0.00162184,0.127183,0.121685,0.00456258,0.0213645,27.9979,0.338074,20.0321,0.30026,0.0163303,1.34342,
21,0.0981635,0.00160211,0.127415,0.121308,0.00464016,0.0213746,27.998,0.338072,20.0321,0.300272,0.0163133,1.34347,
22,0.0981742,0.00162941,0.127337,0.12151,0.00454927,0.0213621,27.9983,0.338066,20.0318,0.300264,0.0162962,1.3434,
23,0.0981947,0.00162199,0.127193,0.121687,0.00455022,0.0213648,27.998,0.338072,20.032,0.30026,0.0163245,1.34341,
24,0.0981841,0.00164211,0.127478,0.121098,0.00462729,0.0213634,27.9982,0.338069,20.0321,0.300272,0.0162658,1.3435,
25,0.0981932,0.00161325,0.127371,0.121492,0.00454611,0.0213673,27.9985,0.338064,20.0317,0.300265,0.0162977,1.3434,
26,0.0981686,0.00163013,0.127362,0.121513,0.00457068,0.0213659,27.9983,0.338067,20.0318,0.300265,0.0162836,1.3434,
27,0.0981712,0.00163427,0.127297,0.12154,0.00469674,0.0213634,27.9974,0.338081,20.0325,0.300265,0.0162942,1.34343,
28,0.0981867,0.00161979,0.127206,0.121667,0.00455096,0.0213653,27.998,0.338072,20.032,0.300261,0.016327,1.34342,
29,0.098234,0.00161408,0.127351,0.12136,0.00453523,0.0213671,27.9984,0.338065,20.0318,0.300265,0.0162968,1.34344,
30,122.444,2.86589,0.219106,24.8139,76.5686,2.06215,81.3308,0.0669663,8.90109,0.630348,2.85832,2.69421,
31,0.0981736,0.001622,0.127325,0.1215,0.00463373,0.0213667,27.9978,0.338075,20.0322,0.300266,0.0162997,1.34343,
32,0.0981571,0.00162286,0.127423,0.121365,0.00465134,0.0213679,27.9978,0.338074,20.0322,0.300269,0.0162835,1.34344,
33,0.0981859,0.001622,0.127175,0.121621,0.00460785,0.0213659,27.9977,0.338076,20.0323,0.300262,0.0163343,1.34345,
34,8.19493,2.43582,1.44502,1.43636,52.8313,2.40109,138.531,0.310965,11.2451,1.96939,4.81353,0.336996,
35,0.098177,0.0016222,0.127256,0.121586,0.00460879,0.0213678,27.9978,0.338075,20.0322,0.300263,0.0163142,1.34343,
36,0.0981877,0.00162936,0.12723,0.121745,0.00463317,0.0213682,27.9976,0.338078,20.0323,0.300262,0.0163204,1.34337,
37,79.0948,2.18059,6.31001,19.8709,101.249,2.33986,133.168,0.145158,6.42208,1.65924,0.329382,1.57988,
38,23.2453,3.47826,2.28623,25.391,96.4513,2.20029,126.557,0.260333,12.2345,0.970465,0.076548,4.56244,
39,123.434,2.15539,5.04191,40.4765,151.067,1.95752,24.3992,0.18476,38.6088,1.86402,1.81123,2.8044,
40,87.5251,2.38838,1.31966,35.5205,98.6038,2.1389,124.246,0.165633,10.9695,0.871159,3.42897,3.05697,
41,0.0982166,0.00161979,0.127415,0.121336,0.00457148,0.0213674,27.9983,0.338067,20.0318,0.300267,0.0162833,1.34343,
42,167.049,2.41496,4.37722,36.5913,157.879,0.444795,74.1515,0.472462,17421.3,1.73224,1.08771,3.33269,
43,0.0981541,0.00162342,0.127388,0.121406,0.00460051,0.0213665,27.9982,0.338067,20.0319,0.300267,0.0162878,1.34343,
44,0.0981641,0.00162269,0.127321,0.121543,0.00458117,0.0213672,27.9981,0.338069,20.032,0.300266,0.0163144,1.3434,
45,0.0981749,0.0016232,0.127397,0.121585,0.00456156,0.0213721,27.9984,0.338064,20.0317,0.300264,0.0162763,1.34335,
46,0.0982022,0.00162256,0.127418,0.121393,0.00462741,0.0213647,27.9979,0.338073,20.0322,0.300267,0.0162814,1.34341,
47,0.0981541,0.00162244,0.127356,0.121602,0.00464159,0.021367,27.9978,0.338074,20.0321,0.300265,0.0162909,1.34338,
48,0.0981604,0.00159397,0.127363,0.121494,0.00459489,0.02138,27.9982,0.338068,20.0319,0.300266,0.0162934,1.34342,
49,0.0981956,0.00162868,0.127047,0.121759,0.00462561,0.0213699,27.9973,0.338084,20.0326,0.300259,0.0163649,1.34346,
