Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
71,1007.23,1426.43,1109.78,0.706118,24.4523,0,55.6648,35.088,3.41482,994.531,174.217,55.8361,83.2247,15.5111,0,147.67,72.9098,2.64916,545.268,278.313,147.48,637.066,9.03198,0,0.908238,0.418264,0.0617938,797.441,27.3076,1.52401,5.9382,
72,1007.23,1646.68,3461.14,0.61167,24.1707,0,52.4894,38.6521,3.43789,1012.76,159.552,53.5461,302.077,12.7774,0,151.135,128.314,2.60101,557.996,262.219,158.914,2941.99,10.3112,0,0.908238,0.418264,0.0617938,864.571,27.3076,1.52401,5.9382,
73,1007.23,1293.05,825.052,0.778955,22.5193,0,47.1376,37.4512,3.19078,920.931,136.903,47.3016,77.6155,7.41266,0,130.813,84.0325,2.252,280.417,208.749,130.623,250.12,10.3112,0,0.610586,0.418264,0.0617938,833.407,27.2306,1.50814,5.9382,
74,1007.23,1334.08,979.089,0.754996,23.4769,0,41.277,33.608,3.28046,969.537,145.785,41.5008,75.6168,13.7332,0,105.518,81.3167,2.60184,498.383,234.498,106.002,124.907,10.3112,0,0.610586,0.418264,0.0617938,865.007,27.2306,1.50814,5.9382,
75,989.554,1334.39,1160.02,0.741575,23.7463,0,40.8676,51.2642,3.25404,966.155,128.957,42.105,78.0463,16.0298,0,124.711,177.948,2.624,542.795,182.377,131.31,143.521,10.3112,0,0.610586,0.693994,0.0617938,865.007,27.2306,1.50814,3.44314,
76,989.554,1512.99,2777.65,0.654038,23.8414,0,56.8758,46.0929,3.09701,968.47,141.981,57.4182,215.216,13.88,0,173.878,127.818,2.37247,476.571,214.336,175.35,1996.99,3.88586,0,0.610586,0.693994,0.0617938,865.007,27.2306,1.50814,5.9382,
77,989.554,1540,2900.56,0.642566,24.0068,0,58.77,39.6874,3.12024,978.212,146.545,58.9735,230.688,14.3304,0,188.547,122.988,2.72999,506.889,233.551,188.681,2296.45,11.6239,0,0.610586,0.693994,0.00813906,788.298,27.2306,1.50814,5.9382,
78,989.554,2591.53,13174.2,0.381842,24.0278,0,60.9787,70.2226,3.06527,1024.74,151.237,60.6708,1196.59,16.8785,0,202.855,317.77,2.5227,807.643,245.188,199.609,12788.7,1.95458,0,0.610586,0.693994,0.00813906,865.007,27.2306,1.50814,5.9382,
79,989.554,1330.32,983.857,0.743847,23.2087,0,48.4387,36.9758,3.16308,945.209,142.408,48.8529,82.0626,10.8738,0,138.97,85.623,2.92735,401.387,256.198,139.505,1117.15,11.6239,0,0.610586,0.693994,0.00813906,865.007,25.2804,1.50814,5.9382,
80,989.554,1633.22,2093.96,0.605893,26.0344,0,79.5845,50.0827,3.20303,1044.15,158.599,79.804,191.758,18.4276,0,209.037,128.503,3.0896,647.434,256.336,204.699,1251.83,11.6239,0,0.610586,0.693994,0.00813906,865.007,25.2804,1.50814,5.9382,
