Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1395.34,4282.51,1284.72,0.325822,62.2389,0,290.445,299.313,7.43483,2440.22,568.684,294.14,320.038,71.891,3.06557e-05,393.523,412.456,6.67527,2640.32,593.885,355.961,339.989,2.7483,0,2.05452,7.14931,0.067711,891.643,25.6067,2.09182,18.984,
1,1395.34,4020.79,1056.72,0.34703,60.9356,0,278.815,269.14,7.09939,2288.63,517.83,279.78,318.559,33.9234,0,225.229,216.258,3.86095,1024.17,374.138,227.155,199.005,2.7483,0,9.25223,8.94217,0.067711,878.347,20.3695,9.28087,18.984,
2,1395.34,3782.61,1019.22,0.368881,55.9152,0,275.49,266.097,7.13813,2093.51,502.562,276.289,305.616,32.6777,0,200.42,197.361,3.64228,978.381,362.402,201.753,204.377,2.7483,0,14.1543,18.6027,0.067711,853.2,20.3695,14.8144,16.6947,
3,1395.34,3558.95,883.099,0.392064,52.0428,0,272.111,258.444,6.73992,1911.17,479.966,272.683,305.791,29.1495,0,193.013,178.98,3.76677,865.999,355.919,193.633,194.161,2.7483,0,3.50805,18.6027,0.067711,830.725,20.3695,3.66121,16.6947,
4,1395.34,3427.99,812.212,0.407042,49.9727,0,271.437,258.209,6.44132,1806.91,457.532,271.818,305.67,26.5708,0,180.017,171.588,3.65513,757.66,336.087,180.594,189.775,2.7483,0,3.50805,18.6027,0.067711,853.2,20.3695,3.66121,16.6947,
5,1385.01,3314.99,912.05,0.417802,46.5923,0,281.624,258.319,6.33779,1690.78,451.675,282.103,297.554,24.2518,0,198.105,178.643,3.66663,685.284,354.482,197.251,196.681,2.7483,0,3.50805,7.34991,0.067711,853.2,20.3695,3.66121,16.6947,
6,1385.01,3059.04,702.438,0.452759,44.3922,0,255.186,234.458,6.30022,1568.1,413.155,255.464,281.984,22.3027,0,158.261,148.359,3.62964,613.287,331.776,160.049,195.924,2.7483,0,3.50805,5.71209,0.067711,853.2,20.3695,3.66121,14.8065,
7,1385.01,2997.27,1092.25,0.46209,42.2458,0,249.681,225.414,6.223,1492.89,410.269,249.915,320.626,21.6635,0,162.133,146.213,3.64564,593.168,332.775,162.51,559.55,2.7483,0,3.50805,5.71209,0.190597,853.2,20.3695,3.66121,14.8065,
8,1216.36,2809.73,676.193,0.432912,39.8578,0,241.889,221.975,6.09478,1396.31,391.969,242.362,269.266,18.9436,0,158.798,147.896,3.56463,500.608,311.953,159.836,188.15,2.7483,0,3.30022,5.69895,0.190597,853.2,20.3695,3.66121,14.8065,
9,1216.36,2656.62,578.581,0.457861,38.1958,0,227.882,203.475,5.96505,1313.63,374.76,228.042,264.67,16.7713,0,140.606,140.848,3.51686,417.504,286.181,142.242,175.52,2.85894,0,3.30022,2.89596,0.190597,853.2,20.3695,3.66121,14.8065,
10,1216.36,2635.53,723.542,0.461525,36.3578,0,238.578,198.74,5.95713,1274.7,384.793,238.781,257.631,16.9572,0,180.85,146.389,3.71067,400.829,288.627,179.232,179.062,2.74195,0,3.30022,2.89596,0.190597,853.2,14.2057,3.66121,14.8065,
11,1216.36,2453.53,525.201,0.495761,34.1085,0,210.371,177.653,5.69878,1211.79,357.532,210.538,245.841,15.7233,0,136.678,133.866,3.60167,343.208,273.918,138.809,156.232,2.74195,0,3.30022,2.26598,0.190597,853.2,20.3695,3.66121,14.8065,
12,1216.36,2532.54,1959.05,0.480295,33.7982,0,203.596,162.395,5.55735,1206.58,357.369,203.72,359.518,17.4013,0,147.581,133.807,3.44603,457.509,279.805,148.007,1402.57,2.65296,0,2.36026,2.26598,0.190597,819.253,21.5573,2.87406,14.8065,
13,1216.36,2355.3,761.599,0.516438,31.9614,0,190.122,149.079,5.42921,1169.33,373.002,190.235,246.137,14.3542,0,129.617,122.708,3.39274,353.165,299.777,130.987,335.214,2.65296,0,2.36026,2.26598,0.239211,853.2,21.5573,2.87406,14.8065,
14,1216.36,2428.8,2269.54,0.50081,32.197,0,185.586,141.665,5.487,1175.83,352.839,186.232,348.954,16.9888,0,156.32,166.506,3.52092,562.961,270.421,161.825,1804.49,2.65296,0,2.36026,2.26598,0.239211,853.2,21.5573,2.87406,14.8065,
15,1216.36,2141.13,392.576,0.568095,29.6081,0,181.931,129.189,5.26805,1076.07,324.305,181.992,212.769,12.5389,0,117.809,104.919,3.32084,228.564,242.912,118.724,169.766,2.65296,0,2.36026,2.26598,0.239211,851.3,21.5573,2.87406,13.548,
16,1216.36,2162.86,892.484,0.562386,29.2417,0,191.901,122.997,5.0711,1087.72,317.353,192.307,216.272,13.3859,0,183.973,150.338,3.32518,336.667,255.008,184.065,136.272,2.65296,0,2.36026,0.654347,0.239211,838.33,21.5573,2.87406,6.72305,
17,1216.36,2138.92,859.212,0.568682,29.0877,0,183.64,113.31,4.84187,1096.29,315.909,183.752,212.089,13.6637,0,181.109,124.312,3.19942,361.399,260.883,181.195,134.757,2.65296,0,2.36026,0.654347,0.239211,838.33,21.5573,2.87406,6.72305,
18,1216.36,2085.64,862.541,0.583208,29.0279,0,162.668,105.076,4.75373,1081.03,326.753,162.748,213.591,16.2939,0,134.254,102.052,3.09961,461.979,271.223,136.412,165.02,2.65296,0,1.9906,0.654347,0.239211,838.33,21.5573,2.04891,6.72305,
19,1204.59,1981.54,647.491,0.607904,27.4112,0,156.993,99.4447,4.78333,1022.33,302.215,157.041,211.327,11.287,0,142.446,101.475,3.17835,187.608,246.356,143.019,281.036,2.65296,0,2.36026,0.654347,0.239211,838.33,21.5573,2.87406,6.72305,
20,1204.59,2507.03,8289.76,0.480484,27.2701,0,158.647,100.73,4.83499,1031.26,289.401,158.816,736.076,11.3007,0,155.196,109.48,3.27382,231.008,229.389,155.428,7846.26,2.65296,0,2.36026,0.654347,0.239211,838.33,21.5573,2.87406,6.72305,
21,1204.59,1982.57,1139.65,0.607591,28.0721,0,146.346,100.06,4.66929,1074.35,288.544,147.245,193.281,13.5572,0,158.932,170.238,3.25067,582.536,234.239,167.675,240.671,2.65296,0,2.36026,0.654347,0.218993,838.33,21.5573,2.87406,6.72305,
22,1204.59,2011.94,1226.95,0.598721,28.6039,0,160.914,93.7337,4.52177,1071.86,277.448,161.156,213.7,15.7207,0,179.81,122.659,3.20536,450.166,245.369,178.8,508.992,2.74195,0,2.36026,0.654347,0.218993,807.022,21.5573,2.87406,6.72305,
23,1166.33,1821.53,565.013,0.640302,27.3241,0,127.031,76.7785,4.30365,1033.56,251.565,127.091,173.877,14.3144,0,106.902,76.1805,3.02843,384.933,211.523,107.342,125.71,3.43008,0,2.36026,0.654347,0.218993,838.33,21.5573,2.87406,5.42716,
24,1166.33,1817.71,703.785,0.641646,27.4624,0,137.994,78.4268,4.07539,1024.54,231.316,138.05,175.849,13.1526,0,162.378,83.9244,2.99747,320.993,196.906,162.285,147.835,3.43008,0,2.36026,0.654347,0.107954,807.426,21.5573,2.87406,5.42716,
25,1166.33,1822.95,990.706,0.639801,27.5798,0,135.834,84.0168,4.2032,1045.08,222.684,136.175,167.379,14.7715,0,174.259,140.299,3.24094,431.949,175.94,176.35,151.883,3.43008,0,2.36026,0.654347,0.107954,838.33,21.5573,2.87406,5.42716,
26,1078.65,1759.08,763.058,0.613193,26.3102,0,134.9,71.8474,3.90264,996.629,230.853,134.944,159.69,11.4863,0,182.522,88.6778,2.82594,235.919,219.684,182.632,114.428,3.43008,0,2.36026,0.654347,0.107954,838.33,21.5573,2.87406,5.42716,
