Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.motion_ratio_heave_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,
81,1.83846,182.248,16.6118,21.6916,248.64,4.89132,110.131,528.899,370.912,0,1033.66,4.40725,86.4253,2.76431,622.768,
82,0.0320476,34.9687,5.69361,0.400241,14.3282,3.90482,19.8669,0.0398691,0.81961,0,39.6036,3.49923,3.26234,0.0800338,31.148,
83,0.0324982,34.9689,5.69365,0.399902,14.3281,3.90483,19.8758,0.0433859,0.817757,0,39.5968,3.49924,3.2627,0.0791607,31.1483,
84,0.0319038,34.9687,5.69358,0.40032,14.3269,3.90406,19.8731,0.0450872,0.818012,0,39.6005,3.49846,3.26384,0.0788289,31.1479,
85,0.0327239,34.9688,5.69366,0.400151,14.3274,3.9042,19.8668,0.0449722,0.817879,0,39.6036,3.49861,3.2635,0.079641,31.1483,
86,2319.81,6.40306,16.0017,351.406,362.253,7.9621,67.4108,487.298,520.435,0,1992.16,8.45458,80.9921,2327.59,1205.06,
87,0.0318736,34.9687,5.69361,0.400277,14.3277,3.90426,19.8626,0.0416462,0.818358,0,39.6081,3.49867,3.26307,0.0805002,31.148,
88,0.031492,34.9688,5.69365,0.399288,14.3277,3.90665,19.8672,0.0414852,0.820648,0,39.6028,3.50108,3.26302,0.0797188,31.1482,
89,0.0318841,34.9688,5.69363,0.400408,14.327,3.90417,19.8646,0.0460735,0.81719,0,39.6069,3.49858,3.26379,0.0797791,31.1482,
90,0.0314324,34.9687,5.69363,0.399954,14.3278,3.90496,19.8663,0.0423415,0.818834,0,39.6048,3.49937,3.26298,0.0802097,31.1482,
91,0.0322833,34.9687,5.6936,0.399502,14.3263,3.90614,19.8641,0.0412575,0.817245,0,39.6055,3.50057,3.2645,0.0795217,31.148,
92,0.0316283,34.9688,5.69366,0.399899,14.3287,3.90505,19.8647,0.0472545,0.816194,0,39.6052,3.49946,3.26202,0.0801418,31.1483,
93,0.0320153,34.9687,5.69365,0.399848,14.3281,3.90587,19.8644,0.035793,0.823517,0,39.6055,3.5003,3.26251,0.0800119,31.1482,
94,0.0323132,34.9688,5.69364,0.400542,14.3274,3.90357,19.8641,0.043516,0.816508,0,39.6066,3.49797,3.26346,0.0800374,31.1482,
95,0.0321,34.9686,5.69359,0.40048,14.3259,3.90385,19.8609,0.038197,0.821988,0,39.608,3.49825,3.26501,0.0802718,31.1479,
96,0.0321432,34.9687,5.69361,0.400064,14.3278,3.90444,19.8643,0.0407674,0.822203,0,39.6056,3.49885,3.26303,0.0798658,31.148,
97,0.0326205,34.9689,5.69366,0.399444,14.3289,3.90672,19.8657,0.0356463,0.824224,0,39.6041,3.50115,3.26163,0.0787605,31.1483,
98,0.0319412,34.9687,5.69359,0.399926,14.3275,3.9052,19.8677,0.0389225,0.821739,0,39.6038,3.49962,3.2632,0.0797206,31.148,
99,0.032073,34.9688,5.69364,0.399687,14.3272,3.90577,19.8729,0.041057,0.818082,0,39.6001,3.50019,3.26355,0.0795649,31.1482,
