Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
10,1363.22,2672.74,2663.06,0.510047,0,30.2727,455.431,157.691,131.815,5.40128,1425.38,308.798,157.954,0,19.1607,1985.53,174.251,109.575,3.17351,659.936,339.449,174.165,0,2.65166,8.57158,0.465087,3.35868,0.158505,878.472,15.3798,0.73486,
11,1363.22,2580.07,2550.2,0.528366,0,29.1871,372.951,164.409,144.764,5.1944,1409.68,289.063,164.831,0,21.1465,1569.4,196.498,137.851,3.10069,750.381,324.58,195.608,0,2.65166,8.57158,4.28478,2.13903,0.158505,878.472,15.3798,5.2803,
12,1363.22,2318.42,1975.45,0.587996,0,25.4595,337.556,130,129.462,5.44498,1287.4,272.766,130.338,0,17.4901,1540.47,153.437,139.247,3.15113,577.06,315.296,156.302,0,2.65166,9.37076,4.28478,2.13903,0.269406,867.385,15.7707,5.2803,
13,1363.22,2448.3,2011.18,0.556804,0,24.1256,356.343,168.801,148.991,5.44075,1285.45,289.873,169.273,0,16.2965,1300.82,191.317,161.109,3.15102,548.828,360.507,188.489,0,2.65166,9.37076,4.28478,2.13903,0.344621,867.385,16.0021,5.2803,
14,1363.22,2353.53,1693.18,0.579225,0,24.5628,200.974,177.615,148.133,5.17641,1310.66,308.083,178.321,0,21.1133,193.726,258.461,226.982,3.2167,775.11,356.102,259.779,0,2.65166,9.37076,0.691631,2.13903,0.344621,867.385,16.0021,0.771081,
15,1363.22,2056.07,963.642,0.663025,0,19.592,181.795,152.59,130.149,5.9414,1146.39,266.322,153.291,0,12.7301,129.235,184.801,172.629,3.26428,409.451,276.173,186.253,0,2.65166,9.37076,5.43656,2.13903,0.344621,867.385,16.0021,5.2803,
16,1363.22,2683.19,3600.17,0.50806,0,22.018,581.328,174.051,150.229,5.6496,1283.41,289.568,176.942,0,19.9593,2712.28,249.514,260.821,3.30037,851.476,327.089,259.064,0,2.65166,9.37076,5.43656,2.44322,0.344621,867.385,16.0021,5.2803,
17,1363.22,2031.94,1065.43,0.670896,0,20.3317,163.013,158.667,114.62,5.25445,1158.63,252.501,158.926,0,16.1141,335.061,192.798,125.506,3.31143,523.93,314.189,196.241,0,2.65166,9.37076,5.43656,2.44322,0.344621,867.385,16.0021,5.2803,
18,1247.21,1996.61,1135.47,0.624662,0,18.3995,185.297,144.086,128.904,5.13291,1107.1,263.127,144.558,0,12.7866,139.052,184.392,139.711,3.18599,412.777,323.239,186.656,0,2.65166,9.37076,3.97725,2.44322,0.262687,867.385,15.1537,3.96098,
19,1190.47,2327.29,2143.17,0.511526,0,20.4947,260.789,173.106,175.867,5.33243,1236.73,278.577,176.4,0,20.5249,711.937,237.427,355.951,3.39757,919.2,336,247.757,0,2.65166,9.37076,3.97725,4.43254,0.262687,867.385,16.0021,3.96098,
20,1116.74,1991.28,1459.99,0.560814,0,18.155,180.645,166.618,117.526,4.81291,1110.46,225.883,167.177,0,16.7835,182.965,250.714,198.668,3.34864,585.684,273.661,254.967,0,2.65166,9.37076,3.97725,4.43254,0.262687,867.385,16.0021,3.96098,
21,1116.74,1828.88,1260,0.610613,0,15.511,176.44,134.216,111.8,4.90959,1046.71,204.772,134.515,0,15.0209,176.177,195.148,148.974,3.25926,512.506,218.622,195.751,0,2.65166,9.37076,4.10283,4.43254,0.262687,867.385,16.0021,3.96098,
22,1116.74,1940.4,1344.14,0.575518,0,15.9481,160.897,173,118.441,4.39302,1058.62,235.785,173.319,0,13.7502,138.732,269.742,130.367,3.19142,444.321,306.621,269.496,0,2.65166,9.37076,0.306583,4.43254,0.262687,867.385,16.0021,0.580731,
23,1034.31,1877.3,2758.8,0.550956,0,14.1599,371.459,105.581,93.3315,4.12936,1006.82,175.958,105.864,0,12.9317,2181.47,111.505,101.724,3.18578,445.525,204.415,111.68,0,2.65166,12.4304,0.306583,1.69779,0.262687,867.385,16.0021,0.580731,
24,1034.31,1840.19,1208.13,0.562067,0,15.3221,165.74,145.384,113.689,4.40243,1044.32,205.614,145.719,0,11.9675,154.438,237.301,156.4,3.29392,392.134,292.079,245.837,0,2.65166,12.4304,0.306583,1.69779,0.262687,867.385,16.0021,0.580731,
25,1034.31,1725.22,1056.21,0.599524,0,13.8958,156.873,130.458,104.075,4.27552,1006.38,178.341,130.915,0,10.3519,131.486,220.41,149.897,3.0445,341.223,193.692,223.835,0,2.65166,12.4304,0.306583,1.69779,0.262687,867.385,16.0021,0.580731,
26,1034.31,1918.11,1922.43,0.539233,0,16.1323,134.242,161.26,135.035,4.01874,1112.72,191.496,163.206,0,19.2955,109.791,341.403,276.444,3.317,820.588,215.358,350.127,0,2.65166,5.79193,0.306583,2.00288,0.184406,867.385,19.4874,0.580731,
27,1034.31,2279.41,3476.99,0.453762,0,18.6919,498.539,121.008,93.8602,4.47588,1188.83,232.608,121.394,0,23.286,2455.86,234.392,146.247,3.58321,833.368,333.548,234.215,0,2.76793,7.20572,0.306583,2.00288,0.0758936,867.385,19.4874,0.580731,
