Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_l.best,Steering.front.tie_rod_angle_front_view_l.best,
188,46.6769,112.824,272.737,0.413715,1.58561,18.8429,0.469118,45.2134,0.578603,22.8199,0.898661,19.3142,3.10121,6.55209,75.6075,1.90025,205.375,1.40694,2.76417,4.08649,10.4363,0.619622,0.52151,2.4738,4.84454e-05,0.20645,0.254551,8.93671,0.00195397,16.7169,2.39903,
189,46.6769,156.602,391.006,0.29806,6.73379,12.8676,0.587922,87.786,0.455381,22.8224,1.72346,20.1771,3.44851,19.407,43.4942,1.79627,351.072,0.697222,2.82173,6.81335,13.8386,1.51363,0.52151,2.4738,4.84349e-05,0.206442,0.254551,9.34162,0.00195431,15.852,3.00605,
190,46.6769,141.348,338.725,0.330226,4.98566,13.0497,0.638064,63.1047,0.462243,35.9551,1.24858,18.7563,3.14793,15.3089,46.1193,2.2436,265.543,0.87559,93.8975,5.26947,9.35513,0.926358,0.52151,2.4738,4.84897e-05,0.206442,0.254547,7.79393,0.00195523,16.7169,2.88245,
191,46.6769,80.7429,116.755,0.578092,4.30792,20.293,0.558858,5.8057,0.443921,26.9249,0.113889,19.0804,3.21447,13.2116,67.6281,1.98488,48.5835,0.713975,22.3622,1.07236,11.6638,0.913219,0.52151,2.47377,4.84897e-05,0.206442,0.254554,13.0981,0.00195462,8.92344,3.00605,
192,46.6769,142.749,346.015,0.326985,6.46566,8.43612,0.707454,78.3273,0.419167,23.3015,1.54949,20.1004,3.44205,17.6823,22.9777,2.30123,298.024,0.570374,7.09822,5.99479,12.1791,1.59433,0.521509,2.47379,4.84645e-05,0.206451,0.254554,9.40868,0.00195435,16.7169,3.00606,
193,46.6768,91.6251,265.952,0.509433,2.29437,8.13619,0.290384,33.6713,0.36272,26.188,0.658223,16.8347,3.18919,9.7366,27.7735,1.4709,233.892,0.536735,19.9489,4.7042,1.05793,0.974388,0.521497,2.47378,4.84645e-05,0.206451,0.254543,17.4859,0.00195435,15.2279,3.00606,
194,46.6768,91.9329,196.629,0.507727,4.21822,6.82572,0.379222,32.0199,0.359529,25.4939,0.637195,18.8503,3.14901,14.709,21.2612,1.76231,160.788,0.503546,17.9402,3.21278,10.0365,0.57682,0.521491,2.47378,4.84985e-05,0.206451,0.254553,9.20168,0.00195435,16.7169,3.00607,
195,46.6768,82.331,249.579,0.566941,1.62432,3.4876,0.0427136,33.0644,0.326068,23.4344,0.645255,16.7245,2.9818,7.71968,7.84227,0.417177,229.947,0.501096,2.0844,4.50347,1.5686,0.234281,0.521491,2.4738,4.84973e-05,0.206451,0.254553,20.4397,0.00195532,16.7169,1.7916,
196,46.6768,121.011,344.118,0.385724,2.86543,12.5722,0.52911,59.3209,0.459429,23.5454,1.16771,17.3114,3.23923,10.4507,45.5005,2.21653,288.39,1.00102,4.9524,5.74805,2.68669,1.00115,0.521491,2.4738,4.84781e-05,0.206452,0.254554,5.47234,0.00195496,16.7169,3.00607,
197,46.6768,70.7654,74.6014,0.6596,6.0422,11.7058,0.89019,1.40141,0.56453,26.6375,0.025847,20.1734,3.3245,16.7735,31.9899,2.66818,30.3947,1.14435,18.2605,0.552352,13.1003,1.404,0.521491,2.4738,4.84772e-05,0.206446,0.254542,12.2869,0.00195523,16.7169,2.47139,
198,46.6768,157.016,405.246,0.297274,4.9384,12.3173,0.542812,86.8309,0.481664,29.2503,1.70597,17.706,3.24253,15.0438,42.4164,1.88615,345.544,0.814604,43.2669,7.10244,6.89876,0.973481,0.521484,2.4738,4.84747e-05,0.206446,0.254544,9.24881,0.00195502,13.9633,3.00607,
199,46.6768,173.188,420.094,0.269515,4.91054,20.7848,0.682415,99.6452,0.594019,22.9047,1.96033,18.686,3.01997,13.9488,61.6554,2.08628,357.641,1.10038,4.07157,7.03635,9.69737,0.410024,0.52148,2.4738,4.84772e-05,0.206446,0.254545,10.9375,0.00195502,14.0283,2.26885,
200,46.6768,132.045,335.339,0.353492,6.37322,22.3286,0.625602,53.8051,0.658377,22.6192,1.05687,21.1798,3.39819,17.7729,80.4667,1.93185,274.015,1.22452,2.97539,5.35782,15.5181,1.48323,0.52148,2.47377,4.8473e-05,0.206446,0.254556,11.5524,0.00195502,16.3969,2.49837,
