Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,
77,0.0618932,2.54857,4.60484,0.0242855,0.650658,1.89791,1.32381,3.88028,0.0605358,0.00135743,
78,0.0618932,3.01116,5.11563,0.0205546,0.737711,2.27345,1.3075,4.12372,0.0605358,0.00135743,
79,0.0618932,2.9639,5.17589,0.0208823,0.938902,2.025,1.53401,3.99043,0.0605358,0.00135743,
80,0.0618932,3.32017,5.24767,0.0186416,0.759182,2.56099,1.4676,4.46406,0.0605358,0.00135743,
81,0.0618932,2.80978,4.53263,0.0220278,0.789185,2.0206,1.32898,3.63293,0.0605358,0.00135743,
82,0.0618932,3.74305,6.0631,0.0165355,0.944612,2.79844,1.62416,4.9146,0.0605358,0.00135743,
83,0.0618932,2.33767,4.10519,0.0264764,0.796097,1.54158,1.5622,3.6549,0.0605358,0.00135743,
84,0.0618932,3.14531,4.98538,0.0196779,0.934758,2.21055,1.81043,4.00696,0.0579286,0.00135743,
85,0.0618932,3.02984,4.89096,0.0204279,0.801041,2.2288,1.49246,3.82072,0.0605358,0.00135743,
86,0.0618932,3.3043,5.18141,0.0187311,0.945031,2.35927,1.71337,3.86148,0.0605358,0.00135743,
87,0.0618932,4.5015,6.16721,0.0137495,1.22826,3.27324,1.9007,4.57886,0.0605358,0.00135743,
88,0.0618932,2.944,5.3629,0.0210235,0.824987,2.11902,1.56636,4.36922,0.0604947,0.00134204,
89,0.0614992,2.72891,4.95361,0.0225362,0.620801,2.10811,1.31127,3.99187,0.0601828,0.00131642,
90,0.0614992,2.43829,3.97329,0.0252223,0.638786,1.7995,1.02307,3.48858,0.0601828,0.00131642,
91,0.0614992,3.89425,6.01113,0.0157923,0.954498,2.93976,1.55186,4.79524,0.0601828,0.00131642,
92,0.0614992,3.00749,5.05208,0.0204487,0.841708,2.16578,1.44586,4.20664,0.0601828,0.00131642,
93,0.0614992,3.39634,5.53874,0.0181075,0.751826,2.64452,1.47903,4.43925,0.0601828,0.00131642,
94,0.0614992,4.16422,6.02743,0.0147685,0.86871,3.29551,1.55258,5.01037,0.0601828,0.00131642,
95,0.0614992,2.87447,4.5985,0.021395,0.779339,2.09513,1.23111,4.04034,0.0601828,0.00131642,
96,0.0614992,2.49208,4.24398,0.0246779,0.705434,1.78664,1.32485,3.40264,0.0601828,0.00131642,
97,0.0614992,3.15986,4.90967,0.0194626,1.10352,2.05634,1.97359,3.62577,0.0601828,0.00131642,
98,0.0614992,3.09182,5.45511,0.019891,0.72365,2.36817,1.38684,4.41278,0.0601828,0.00131642,
99,0.0614992,3.3258,5.09187,0.0184916,0.850767,2.47503,1.30699,4.06541,0.0601828,0.00131642,
100,0.0614992,3.10476,5.11767,0.019808,0.803604,2.30116,1.21847,4.13251,0.0601828,0.00131642,
101,0.0614992,3.20741,4.73909,0.0191741,0.82891,2.3785,1.29849,3.86603,0.0600756,0.00131642,
102,0.0614992,3.2142,5.25433,0.0191336,0.540332,2.67387,1.10745,4.44381,0.0600756,0.00130177,
