Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.toe_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.camber_angle_gain_roll_r.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.toe_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.camber_angle_gain_roll_r.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.toe_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.camber_angle_gain_roll_r.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
64,51.4834,81.7982,84.0809,0.629395,0.602148,6.27655,0.613584,36.8275,30.581,0.415934,4.54247,0.187213,0.424537,1.32727,1.67094,26.6319,1.49162,23.334,55.2837,1.24768,21.6059,0.243868,0.529742,0.112379,0.107525,0.0938366,0.00108286,28.9499,6.32242,0.0137803,0.021705,0.101116,0.218662,1.08805,
65,51.4725,62.1652,38.2952,0.827995,0.356945,1.63784,0.279101,34.741,20.277,0.275902,2.79384,0.162709,0.337069,1.30375,1.08737,11.3441,0.888042,22.4108,10.8038,0.925066,14.8641,0.230866,0.487963,0.0553456,0.107723,0.0894914,0.00108286,28.9499,8.19078,0.0137803,0.021705,0.101116,0.219668,1.03951,
66,51.4725,85.1559,70.4555,0.60445,0.84137,3.97463,0.868682,41.1817,19.8188,0.643961,15.7044,0.238427,0.573175,1.31069,2.17214,17.6982,1.65874,27.6802,8.64002,1.5039,38.4029,0.301619,0.782467,0.0913894,0.0710006,0.0894914,0.00142757,21.9579,8.15035,0.0138718,0.021705,0.101625,0.219353,1.04514,
67,51.4725,81.4894,94.8992,0.631646,0.751575,4.4275,0.432834,33.3641,29.503,0.299848,10.7611,0.160049,0.499916,1.28956,2.01245,21.3001,1.20485,15.9086,56.3215,0.843648,35.7693,0.178886,0.705511,0.0697576,0.108278,0.0913317,0.00142757,21.7792,0.786583,0.0138718,0.0131542,0.101625,0.219353,1.06859,
68,51.4725,90.5813,84.9522,0.568246,0.903319,8.98838,0.825782,38.593,26.1093,0.528789,12.6291,0.2132,0.513582,1.27672,1.81127,25.306,1.58749,26.0408,41.3636,1.00059,35.9329,0.262885,0.61094,0.0878298,0.106664,0.0913317,0.00142757,28.0485,3.82273,0.0138718,0.0231276,0.0673709,0.218504,0.967337,
69,51.4585,68.9797,51.5776,0.745996,0.566386,1.7805,0.534552,34.3079,21.3137,0.455955,8.16953,0.163312,0.354648,1.33312,1.43775,8.49784,1.44588,20.174,11.111,1.29428,30.8694,0.214765,0.39614,0.125673,0.108664,0.0913317,0.00124447,28.9731,8.63223,0.0138718,0.0231276,0.101837,0.219353,1.01465,
70,51.4585,84.1031,73.7266,0.611851,0.603258,4.13753,0.764095,34.593,23.8674,0.491233,17.585,0.180566,0.567037,1.31394,1.43956,26.4215,1.6502,23.3425,31.7867,1.21735,48.2526,0.23979,0.824024,0.152334,0.108664,0.0913317,0.00124447,16.7354,5.06946,0.0139467,0.0231276,0.0735763,0.219854,1.02469,
71,51.4585,87.6269,150.991,0.587246,0.64427,19.9741,0.698776,30.603,19.3837,0.373261,14.0547,0.13179,0.451121,1.31212,1.62129,133.612,1.73554,12.6446,5.7344,1.16424,39.2417,0.1406,0.599409,0.0889956,0.109267,0.0913317,0.00121492,16.7483,1.61285,0.0139467,0.0452856,0.0445889,0.219854,0.98255,
72,51.4585,70.3819,48.8675,0.731133,0.783279,1.48634,0.381342,39.1901,20.0428,0.371491,6.17418,0.210632,0.443327,1.29843,2.09421,14.3851,1.01745,27.9029,6.14348,0.983714,22.6546,0.295057,0.57946,0.0704916,0.109267,0.0913317,0.00121492,28.9758,8.17245,0.0139467,0.0452856,0.101953,0.221881,1.0927,
73,51.4585,85.8029,81.7065,0.59973,0.785752,4.42328,0.732906,40.8221,27.6895,0.649069,8.62041,0.230811,0.514347,1.33465,2.06906,20.4908,1.5371,29.0755,51.7966,1.57789,30.9634,0.305126,0.681866,0.140106,0.109325,0.0913317,0.0011566,28.9758,8.16219,0.0139467,0.0452856,0.101953,0.22279,1.03096,
74,51.4573,89.4369,122.641,0.575348,0.855857,2.41976,0.687307,36.9806,34.762,0.552434,11.1366,0.199503,0.534795,1.308,1.99908,15.3177,1.49188,26.8238,107.901,1.4197,36.6296,0.277182,0.735678,0.103714,0.109196,0.0897698,0.0011566,20.45,1.29776,0.0139467,0.0515804,0.101848,0.22279,1.02005,
75,51.4573,75.1268,57.5104,0.684939,1.13504,2.95195,0.68591,37.7592,19.2712,0.336388,10.9539,0.200228,0.526709,1.3063,2.82965,11.7139,1.64034,24.1422,15.7458,1.00033,32.4158,0.258121,0.736922,0.0819477,0.109082,0.0897698,0.0011566,28.504,8.20938,0.0138975,0.0515804,0.0757984,0.22279,1.02618,
76,51.4573,89.2279,125.97,0.576695,0.85579,19.781,0.579205,33.832,19.3112,0.428424,12.5195,0.163253,0.442949,1.31458,2.29134,89.7253,1.48211,15.8087,3.36737,1.262,34.9154,0.182765,0.572934,0.0968572,0.109325,0.0875166,0.00124447,24.9965,8.06118,0.0139895,0.0515804,0.101953,0.222722,1.08994,
77,51.4509,71.6385,59.1405,0.718202,0.833713,5.62438,0.496258,32.7732,27.7223,0.346437,1.98186,0.145789,0.384343,1.33021,2.28822,30.1436,1.34123,12.8197,34.8652,1.1448,10.2406,0.139813,0.472758,0.0910992,0.109784,0.0875166,0.00124447,28.9808,11.8974,0.0142042,0.0499387,0.102172,0.222347,1.17739,
78,51.4463,81.2737,68.7072,0.633001,0.960785,4.40606,0.650525,35.2752,24.4377,0.669811,12.8422,0.18404,0.522772,1.32458,2.56971,20.3464,1.3651,21.7636,21.4042,1.60724,41.077,0.229811,0.741019,0.125233,0.109738,0.0863674,0.00114112,17.7186,10.7027,0.0142042,0.0551507,0.101995,0.22279,1.03544,
79,51.4463,74.1901,96.6217,0.69344,0.584917,2.74978,0.395921,32.3942,30.3046,0.216745,5.71667,0.141815,0.376565,1.30887,1.9732,18.5488,1.26414,13.1606,67.1539,0.751978,23.371,0.149516,0.512316,0.0565252,0.109738,0.0857819,0.00114112,24.9908,8.18521,0.0142042,0.0577279,0.0863784,0.221914,1.03648,
80,51.4463,184.966,705.797,0.27814,0.758637,1.53339,0.78108,35.5583,130.879,0.487295,12.8829,0.216678,0.550181,1.31783,1.49482,9.73644,1.69382,17.656,696.717,1.35037,38.2519,0.333068,0.789727,0.131846,0.10976,0.0814349,0.00114112,18.0121,8.13216,0.01415,0.059005,0.10228,0.139917,1.00578,
81,51.4463,187.086,563.828,0.274987,0.56801,12.0122,0.639213,34.2033,127.292,0.459048,9.89127,0.194777,0.511504,1.31495,1.77723,54.3074,1.51286,16.0059,543.497,1.24686,36.0265,0.270516,0.696114,0.101295,0.109853,0.0814349,0.00106015,20.8143,9.32702,0.0142795,0.059005,0.10228,0.221914,1.05363,
82,51.4463,83.2255,183.548,0.618156,0.733016,24.8027,0.367802,33.7801,21.2253,0.191743,0.296869,0.152846,0.372114,1.30299,2.37374,168.186,1.2682,20.2124,91.1825,0.729828,9.01463,0.210474,0.551366,0.0334826,0.109704,0.0814349,0.00106015,28.9869,11.0873,0.0142795,0.0567213,0.102304,0.221914,1.107,
83,51.4459,62.2804,39.9638,0.826037,0.581728,2.10479,0.401171,32.6902,21.3113,0.303321,3.06509,0.142961,0.351156,1.32871,1.88868,26.4399,1.34685,16.959,8.84614,1.14914,15.4258,0.176538,0.453677,0.126106,0.109355,0.0797898,0.00106015,28.9915,10.092,0.0144408,0.0567213,0.102436,0.222295,0.979279,
