Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
65,1230.89,2365.28,1995.41,0.5204,4.72354,180.346,20.3834,1734.28,36.9392,197.467,191.142,2.07587,336.475,25.3183,1002.58,92.7822,372.283,356.732,2.33836,6.01222,6.72282,1202.44,1.23137,0.262847,0.0665702,
66,1230.44,1955.46,1795.54,0.629234,4.59118,125.436,15.8781,1550.6,52.506,103.902,102.543,1.36163,290.013,26.0587,1023.75,122.819,296.169,291.75,2.24444,9.53619,2.93641,1202.44,1.23137,0.262847,0.0293795,
67,1230.44,2038.69,1777.31,0.603544,4.62282,142.801,18.0507,1611.01,27.0653,118.586,116.554,1.34872,282.017,27.2,1046.35,76.7131,253.295,254.632,3.02875,10.9725,6.72282,1202.44,1.23137,0.262847,0.0293795,
68,1230.44,2463.66,2387.85,0.499437,5.02273,115.061,26.6428,1975.53,41.9286,150.63,148.848,1.95363,317.971,38.894,1556.43,100.859,372.91,367.735,2.67499,5.12565,6.72282,1202.44,1.27119,0.262847,0.0293795,
69,1230.44,2062.03,1730.37,0.596714,4.92561,61.1572,20.2699,1716.6,42.7434,108.293,108.034,1.81019,187.434,31.472,1223.82,94.1681,302.297,294.856,3.23367,6.76748,6.72282,1202.44,1.27119,0.262847,0.0293795,
70,1230.44,2337.86,2152.06,0.526311,4.5406,161.644,19.833,1710.75,72.2348,186.343,182.513,1.35043,334.543,27.5305,1086.89,152.579,374.051,391.578,2.97585,8.3441,6.72282,1202.44,1.31387,0.262847,0.0293795,
71,1230.44,2444.03,2270.46,0.503448,4.86222,216.429,19.256,1696.83,65.6048,222.635,218.415,2.0034,378.25,27.0963,1112.07,128.58,429.985,428.897,2.40935,11.3555,6.77768,1202.44,1.31387,0.262847,0.0293795,
72,1230.37,2239.31,2290.9,0.549442,4.74077,166.756,19.5865,1739.67,44.3893,133.573,130.59,1.55519,376.564,31.4408,1280.33,108.843,356.028,333.927,3.13155,9.66821,5.62499,1202.44,1.21242,0.262847,0.0293795,
73,1230.37,2221.47,2001.34,0.553853,4.77735,162.175,18.6873,1676.55,54.9907,153.319,150.971,1.9098,347.069,27.2437,1108.73,113.971,349.048,341.798,2.11999,11.6678,6.77752,1202.44,1.21242,0.262847,0.0293795,
74,1229.58,2260.43,2043.88,0.543956,4.68409,187.303,17.2482,1625.89,68.3123,180.79,176.21,1.68196,351.779,23.6382,952.618,132.746,390.938,383.042,2.93904,2.54558,2.18103,1202.44,1.21242,0.262847,0.0293795,
