Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
52,0.405212,2.37924,1202.36,2.55431,0.235275,7.34208,0.114234,
53,0.403663,2.38097,1202.36,2.55328,0.232966,7.34186,0.116503,
54,0.403981,2.38034,1202.36,2.55327,0.233196,7.3422,0.115727,
55,0.404555,2.37905,1202.36,2.55264,0.235797,7.34221,0.116079,
56,0.416091,2.38115,1202.36,2.5521,0.228623,7.34192,0.107936,
57,0.416694,2.38001,1202.36,2.55409,0.227505,7.34173,0.107671,
58,0.415165,2.38042,1202.36,2.55352,0.229408,7.34175,0.110436,
59,0.404856,2.38083,1202.37,2.55022,0.233692,7.34228,0.113019,
60,0.393956,2.38179,1202.36,2.55458,0.238579,7.34246,0.119077,
61,0.41551,2.3808,1202.36,2.55362,0.2292,7.34161,0.109801,
62,0.408514,2.38023,1202.37,2.55132,0.23077,7.34207,0.110324,
63,0.406533,2.38017,1202.36,2.55218,0.232537,7.34155,0.118573,
64,0.41134,2.38002,1202.36,2.55311,0.232665,7.34187,0.11142,
65,0.402112,2.38076,1202.36,2.55334,0.232765,7.34199,0.117412,
66,0.409776,2.37907,1202.36,2.55248,0.231474,7.34196,0.113248,
67,0.411533,2.38075,1202.37,2.55257,0.228607,7.34169,0.11095,
68,0.402321,2.38056,1202.36,2.5535,0.233105,7.34184,0.118887,
69,0.409132,2.37927,1202.36,2.55308,0.230675,7.34177,0.116541,
70,0.404817,2.37995,1202.36,2.55276,0.233674,7.34158,0.119051,
71,0.415958,2.38171,1202.36,2.55203,0.228556,7.34161,0.111861,
72,0.406288,2.37918,1202.36,2.55459,0.233555,7.34197,0.116173,
73,0.403984,2.38078,1202.37,2.55264,0.233788,7.3422,0.11317,
74,0.414567,2.38096,1202.36,2.55156,0.232674,7.34166,0.110574,
75,0.396492,2.38245,1202.36,2.55417,0.235699,7.34257,0.117145,
76,0.41245,2.38026,1202.36,2.55734,0.232738,7.34233,0.102157,
77,0.422371,2.38021,1202.36,2.55236,0.228489,7.34171,0.104588,
78,0.419841,2.38063,1202.36,2.55475,0.229821,7.342,0.105779,
79,0.396903,2.38199,1202.36,2.55192,0.236097,7.34218,0.121397,
80,1037.33,9.22816,3742.29,99.0417,1516.13,75.3473,1513.82,
81,6.92425,1.11748,3469.04,80.5081,790.712,70.7034,790.625,
82,0.409023,2.38048,1202.36,2.55179,0.231643,7.34246,0.104686,
83,1116.85,6.60661,5522.06,31.9234,848.631,106.215,824.125,
84,2021.86,13.3976,6226.59,311.494,1633.62,110.586,1566.36,
85,0.412458,2.38013,1202.36,2.55418,0.2276,7.34192,0.109866,
86,0.407416,2.37996,1202.37,2.55071,0.230798,7.34216,0.11198,
87,813.021,3.1582,2483.96,194.083,59.4078,34.2211,24.7114,
88,16.19,4.78483,5426.23,355.044,13.9137,114.714,13.8202,
89,0.416723,2.38185,1202.36,2.5538,0.230141,7.34224,0.0975339,
90,0.417291,2.38206,1202.36,2.55337,0.228011,7.3416,0.105241,
91,0.408979,2.38041,1202.36,2.55347,0.230986,7.34206,0.110632,
92,0.411981,2.37983,1202.36,2.55492,0.233382,7.34175,0.111786,
93,0.412515,2.38042,1202.37,2.55344,0.231337,7.34233,0.102562,
94,0.406294,2.37924,1202.37,2.55332,0.229939,7.34209,0.11155,
95,0.420474,2.38023,1202.36,2.55455,0.227792,7.34197,0.100402,
96,6.21968,5.34699,3476.25,252.52,786.065,70.8543,785.969,
97,18.6734,10.4284,3600.4,51.4794,769.56,73.7098,769.739,
98,641.649,2.35309,2372.9,155.139,545.834,48.8134,530.824,
99,2134.51,13.2186,6783.75,31.9309,1586.28,117.873,1499.37,
