Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
10,73.5398,228.433,248.197,0.321931,3.78589,8.49897,22.1772,1.89895,115.622,27.5394,42.0669,0.994229,2.31149,3.53811,2.695,7.75303,7.57796,1.95409,236.784,11.7511,17.2684,0.0253731,4.74603,2.13776,0.0445239,1.26109,9.2821,0.0595476,0.846442,5.67998,26.813,0.973003,0.00654429,0.609204,
11,73.5398,241.136,259.028,0.304973,3.0363,7.56106,25.3631,1.70814,124.855,28.3655,43.5695,0.993421,2.49405,3.18991,2.3421,6.61611,21.3333,1.26448,250.793,28.5567,18.683,0.0201154,4.99926,2.00542,0.0445239,1.02867,4.30244,0.147197,0.846442,5.67998,25.4887,0.974022,0.00654429,0.650771,
12,73.5398,197.732,287.958,0.371917,3.24605,6.87785,22.574,1.78255,84.8233,26.0168,46.4928,0.990478,1.6826,3.24521,2.40933,6.27245,6.96275,1.48669,257.453,13.5642,33.0079,0.0143422,5.21446,2.20219,0.0445239,1.13643,10.9536,0.0592655,0.846442,4.99709,26.813,0.974022,0.00654429,0.415083,
13,73.5398,182.619,134.873,0.402696,2.4742,7.0453,22.4381,1.8762,82.4583,24.1688,37.142,0.988427,1.65099,2.37638,1.85435,5.76011,6.49807,1.55707,130.419,8.97163,10.7163,0.0122495,2.6224,1.76153,0.0445239,0.929464,13.3134,0.0592655,0.846442,5.67998,26.813,0.972463,0.00654429,0.536033,
14,73.5398,204.867,207.501,0.358964,2.59465,6.97321,23.022,1.4186,96.2462,27.6062,41.3139,0.988925,1.92342,2.77998,1.92296,5.28994,7.74113,1.21022,172.308,12.052,32.2595,0.0159038,3.43067,1.65893,0.0445239,1.44814,12.1971,0.0275324,0.846442,5.67998,26.1163,0.952784,0.00654429,0.593876,
15,73.5398,172.428,168.242,0.426496,2.55428,5.94131,23.1054,1.4266,66.9261,27.6178,40.4296,0.989594,1.33974,2.09742,1.65751,5.29241,5.81339,1.32821,139.814,11.7643,22.5509,0.0106063,2.84445,1.38329,0.0445239,0.983106,13.6477,0.0275324,0.846442,5.67998,26.1443,0.974022,0.00654429,0.593876,
16,73.5398,204.232,299.8,0.360079,2.72917,5.29946,25.0743,1.67814,98.8891,25.0255,40.0339,0.995324,1.96182,2.54563,1.75483,5.16166,7.74127,1.3183,265.466,12.483,29.3714,0.0236965,5.31142,1.43378,0.0445239,1.38378,10.9668,0.0275324,0.846442,5.67998,26.7352,0.956769,0.00654429,0.593876,
17,73.5398,197.366,328.456,0.372607,2.70494,5.01302,24.3811,1.33859,95.9209,25.0105,37.2449,0.993045,1.90573,2.853,1.96873,4.91307,7.78517,1.20872,292.652,11.4507,29.3446,0.0157116,5.80375,1.46065,0.0445239,1.50722,9.28382,0.0275324,0.846442,5.67998,26.813,0.955497,0.00654429,0.593876,
18,73.5398,159.566,209.145,0.460874,3.03707,5.34007,24.6065,1.08397,53.0957,23.4663,44.1449,0.995807,1.06013,2.73549,2.60382,6.54223,6.89202,1.49456,164.689,13.6155,42.8227,0.022814,3.33275,1.27588,0.0461635,1.14362,10.7686,0.0275324,0.846442,5.67998,26.813,0.961352,0.00654429,0.593876,
19,73.5398,146.647,157.918,0.501477,2.28839,4.67173,24.8689,0.97184,52.4678,19.9112,36.375,0.996711,1.04871,3.04623,2.38367,4.642,6.80068,1.50866,145.081,11.5555,15.1369,0.0301416,2.8926,1.53771,0.0461635,1.54325,9.27376,0.0275324,0.846442,5.67998,26.813,0.974328,0.00654429,0.593876,
20,73.5398,132.001,170.299,0.557118,1.95446,3.96423,23.7218,1.13614,40.3466,20.6848,35.8974,0.991562,0.805225,2.49833,1.26648,4.26253,3.66743,1.62733,149.158,9.85941,33.5344,0.00770542,2.975,1.1082,0.0461635,1.82713,9.40858,0.0210514,0.411687,5.67998,26.358,0.974328,0.00654429,0.39406,
21,64.0835,188.918,372.042,0.339213,2.39541,3.41959,26.9567,1.16674,92.2303,19.7148,37.2056,0.994727,1.81553,3.01902,1.89088,3.24677,19.8157,1.77333,347.406,11.0405,25.8844,0.0124762,6.90929,1.88685,0.00428258,1.57224,8.92396,0.0210514,0.381341,4.38579,23.2798,0.981054,0.00403291,0.466836,
22,64.0835,141.777,222.958,0.452001,2.2985,3.64144,28.7378,1.0811,46.5437,22.3589,32.333,0.994463,0.927882,2.86061,1.84691,4.13953,33.7938,1.917,199.793,12.9845,15.8745,0.0145204,4.05141,1.31006,0.00428258,1.90853,9.36864,0.0210514,0.411687,4.38579,26.4456,0.987761,0.00731652,0.466836,
23,64.0835,120.405,246.159,0.532235,1.86489,2.65792,24.2945,0.49709,37.817,17.9763,30.8637,0.992914,0.743583,2.69688,1.24949,1.04368,4.5597,1.22085,229.753,7.69452,6.55467,0.00471507,4.50152,0.817914,0.00428258,1.90853,16.5252,0.0210514,0.411687,4.38579,27.9613,0.987761,0.00504373,0.550589,
24,64.0835,154.363,265.97,0.415148,2.3348,4.18323,23.5024,0.606159,67.4228,17.4088,33.9324,0.992774,1.34381,2.63604,2.1947,5.88971,4.02697,1.16398,236.906,10.4501,24.3584,0.00446569,4.83002,1.09412,0.00428258,1.68313,9.27203,0.0210514,0.411687,4.38579,27.5179,0.971391,0.00684448,1.13435,
25,64.0835,156.082,294.021,0.410576,2.58105,3.90121,31.7228,0.709205,60.1419,17.5466,34.5234,1.00323,1.1885,2.76406,2.87755,4.32054,31.3636,1.4698,269.179,12.9178,14.3993,0.0352314,5.30691,1.40812,0.00428258,1.51979,11.4345,0.0210514,0.411687,4.38579,27.5179,0.987213,0.00684448,0.754973,
26,64.0835,152.879,341.986,0.419179,1.81699,2.56892,24.5639,0.454819,73.2845,12.6508,32.3823,0.993856,1.43749,2.72509,1.72669,1.44529,7.27713,0.908291,321.801,10.2087,10.1666,0.0108581,6.31083,1.49994,0.00428258,1.28409,17.4963,0.0226745,0.411687,2.82108,23.0489,0.987761,0.00684448,0.727957,
27,64.0835,122.047,200.959,0.525071,1.55422,3.0707,25.0683,0.51575,36.5436,13.4134,37.519,0.995069,0.72787,2.63945,2.27769,3.08818,5.10398,0.952813,164.963,11.6948,25.987,0.0199316,3.30278,1.33865,0.00428258,1.00549,9.28657,0.0223662,0.369518,3.26092,27.7108,0.961147,0.00670317,0.861133,
28,64.0835,196.185,351.778,0.326648,2.3794,4.73855,28.3599,0.846623,102.286,16.5524,35.0857,0.997368,2.03075,2.90805,2.98486,6.69699,33.8508,1.82394,318.651,17.1291,22.8416,0.0182565,6.30693,1.50775,0.00428258,1.68313,9.28106,0.0223662,0.369518,3.26092,27.7108,0.987761,0.00670317,1.56016,
29,64.0835,113.125,158.131,0.566484,1.47453,3.92952,23.9663,0.539355,28.5079,11.5909,38.9083,0.993409,0.5673,2.64752,1.95618,5.71921,5.30187,1.30765,159.604,9.43495,39.3159,0.00540742,3.16791,1.04723,0.00428258,1.85516,9.62242,0.0223662,0.369518,3.26092,27.7108,0.987851,0.00670317,0.792262,
30,64.0835,182.212,377.473,0.351698,1.60367,3.48049,32.7983,0.519843,86.2642,13.4327,38.58,0.996199,1.69471,2.84185,1.78734,4.38888,60.2039,0.943435,335.711,15.1186,35.6074,0.0142612,6.56752,1.97179,0.00428258,1.56074,11.9942,0.0209479,0.340663,3.26092,24.2975,0.98123,0.00242863,0.962493,
31,64.0835,135.295,292.605,0.473656,1.50499,3.86505,24.7358,0.365822,56.6903,11.7879,31.5758,0.997765,1.11846,2.65364,1.41414,5.73555,9.66501,0.637964,269.28,15.076,10.1886,0.021804,5.30467,1.37636,0.00428258,2.03227,8.9413,0.0209479,0.369518,3.25301,27.7108,0.991586,0.00303578,0.993562,
32,64.0835,120.535,195.457,0.531659,1.83252,4.09126,25.5074,0.606433,35.7053,11.9858,36.33,0.998012,0.712075,2.76633,2.34653,5.22758,7.97733,1.50119,161.46,15.0826,29.1928,0.0279045,3.1634,1.49442,0.00428258,2.06957,11.4639,0.0223662,0.369518,2.22205,27.7108,0.961521,0.00303578,1.17077,
33,64.0835,172.54,378.348,0.371412,1.60494,3.77692,24.8935,0.399519,89.0118,11.6561,35.7353,0.99605,1.74932,2.71703,2.03881,4.88309,6.88593,0.956073,345.066,15.5055,31.8895,0.0197629,6.6841,1.3461,0.00428258,2.1662,9.23529,0.0223662,0.369518,2.22205,22.7741,0.971799,0.00303578,1.26284,
34,64.0835,115.104,201.389,0.556745,1.50968,3.4085,24.2426,0.390315,35.4501,10.066,35.928,0.993615,0.705674,2.40938,2.09356,4.86527,2.63835,1.10196,175.326,12.8899,31.5095,0.00495,3.27867,1.12149,0.00428258,1.90397,9.63915,0.0240896,0.369518,2.22205,27.7483,0.983395,0.00303578,1.4014,
35,64.0835,97.3927,156.537,0.657991,1.30887,4.3753,24.5529,0.381307,22.2145,10.8369,29.7182,0.997849,0.441476,2.5654,1.95395,6.96502,4.9775,0.997642,139.386,14.987,6.50854,0.0219271,2.79313,1.50212,0.00428258,2.1662,9.73841,0.0240896,0.369518,2.22205,27.7483,0.991586,0.00303578,1.33046,
36,64.0835,103.366,240.725,0.61997,1.09477,3.06425,24.4108,0.18108,34.3226,7.9268,28.4998,0.99443,0.672683,2.19824,2.05778,4.56264,2.28421,0.315154,228.527,8.26358,1.52532,0.00781988,4.48642,0.753511,0.00367868,2.08757,12.3377,0.0235909,0.0982274,2.22205,26.7722,0.992106,0.00130422,1.25654,
37,64.0835,160.294,284.739,0.399787,1.82354,5.51065,38.3453,0.817741,52.0789,14.7584,41.913,0.999029,1.03491,3.01271,2.69336,8.5527,97.2228,1.62959,199.063,19.8883,44.4111,0.0264849,3.96008,2.74945,0.00367868,1.97682,11.5704,0.029828,0.0982274,2.22205,22.8439,0.961665,0.00130422,0.811765,
38,60.6873,117.539,247.716,0.516318,1.04761,2.99618,24.3055,0.207224,41.7499,7.89753,35.2313,0.991909,0.827802,2.28365,1.95419,3.85018,14.1799,0.674182,196.974,10.8038,34.8059,0.00950257,3.91093,1.17046,0.00367868,2.11539,10.6994,0.0255541,0.0982274,1.59743,27.7561,0.95754,0.00130422,1.11487,
39,60.6873,136.338,297.44,0.445124,1.11626,2.68852,33.6792,0.399874,55.2656,8.77157,30.1584,0.995597,1.09207,2.17078,2.19915,1.7435,64.6784,0.994922,250.971,12.5162,10.4734,0.0152771,4.94383,0.908192,0.00367868,2.12832,14.1005,0.0255541,0.0982274,1.59743,25.461,0.986542,0.00130422,1.16662,
40,60.3424,95.3235,115.277,0.633027,1.29726,3.91328,25.9811,0.502862,14.514,9.56984,36.0059,0.997956,0.28865,2.25267,2.52295,5.83218,10.7612,1.42551,91.9598,14.4891,36.4255,0.0206104,1.88111,0.827406,0.00367868,2.10659,14.4037,0.0212866,0.0982274,1.28837,23.4238,0.991896,0.00130422,1.05274,
41,59.8373,136.845,284.276,0.437262,1.4122,3.65704,36.2275,0.67284,48.2158,9.30548,33.0763,1.00118,0.950556,2.32654,2.53695,4.63256,60.7601,1.64301,250.415,15.6826,19.7099,0.0279193,4.9252,1.47247,0.00428258,2.10356,11.4602,0.0255541,0.0946244,1.28837,27.7561,0.992262,0.00105423,1.11688,
42,59.8373,138.01,308.861,0.433572,0.988609,2.822,33.5232,0.479619,57.1328,7.07899,31.8361,0.995378,1.12675,2.0264,1.66132,2.45443,64.4484,1.31152,276.953,12.8542,24.8745,0.0138422,5.46057,1.18739,0.00428258,2.10356,5.85402,0.0255541,0.0946244,1.28837,26.4573,0.983583,0.00105423,1.11688,
43,59.8373,191.81,410.739,0.311961,1.4963,3.53516,24.9439,0.453735,108.671,9.39649,37.8472,0.997681,2.14146,2.32719,2.81858,4.71334,9.73903,0.975005,361.601,16.6471,33.1442,0.0225406,7.14027,1.65097,0.00428258,1.09274,10.8435,0.0234962,0.0946244,1.28837,27.771,0.958549,0.00113468,1.17066,
44,59.8373,122.874,263.278,0.486979,1.23012,3.55163,27.4148,0.298957,43.8169,6.43873,35.9621,0.999172,0.862018,2.30008,2.3457,4.88199,16.1902,0.397449,244.319,12.9357,26.2046,0.0249856,4.83949,1.56134,0.00428258,2.04484,13.5816,0.0304902,0.130297,1.20283,27.771,0.992617,0.00218992,1.16961,
45,59.8373,142.154,282.6,0.420933,1.00258,4.06411,23.8125,0.592229,68.0619,6.4894,33.4445,0.993962,1.3564,2.33627,1.88291,5.89812,5.26468,1.48884,247.211,15.0994,24.8614,0.00560516,4.9346,1.61931,0.00931344,2.14711,9.56489,0.0212333,0.130297,1.19003,27.7528,0.992617,0.000976692,1.17066,
46,59.8373,125.522,291.752,0.476706,1.016,2.88302,24.4839,0.342017,58.0468,5.43665,29.0197,0.993511,1.14355,2.15735,2.22997,3.09402,2.43908,0.789693,271.36,13.6069,7.28424,0.00363046,5.33447,1.07223,0.00931344,2.13156,9.30684,0.0212333,0.130297,1.13623,24.1451,0.978452,0.00218992,0.942975,
47,59.8373,108.137,243.951,0.553345,0.837189,2.9281,30.6178,0.378192,34.1907,4.19333,31.0851,0.998021,0.668351,2.24056,1.63013,2.58293,29.0433,0.901795,229.228,9.65196,15.6514,0.0218268,4.50788,1.18689,0.00931344,2.23506,22.4022,0.0212333,0.130297,1.16909,24.0256,0.992918,0.00139805,1.39012,
48,59.8373,102.888,177.806,0.581578,1.06371,4.48074,23.8983,0.379903,32.0748,4.26898,32.5254,0.995676,0.639324,2.56108,2.14527,7.5004,7.56307,0.925302,154.809,10.592,23.5295,0.00880678,3.08978,2.17321,0.00532334,2.23506,9.86551,0.0212333,0.151843,1.03396,27.749,0.992958,0.0024107,1.41768,
49,59.8373,108.286,202.871,0.552586,0.817593,3.43741,36.3781,0.497189,23.1162,5.73975,34.6864,0.999335,0.457839,2.15618,1.73278,3.90027,55.3143,1.47165,140.941,14.3086,32.8587,0.0277604,2.7953,0.988594,0.00572458,2.15214,12.8758,0.0212333,0.116617,1.03396,27.7642,0.955189,0.000710464,1.34851,
50,59.8373,79.4425,99.9728,0.753215,0.647974,2.60526,27.1487,0.28999,11.7907,3.5625,30.1392,0.995546,0.234936,2.02775,1.43894,2.09094,15.5307,0.840818,76.317,10.5197,10.6653,0.0163141,1.54162,0.393506,0.00572458,1.90756,24.1562,0.0241469,0.116617,1.03396,27.7642,0.988769,0.000710464,1.41768,
51,59.8373,97.3952,153.204,0.614376,0.997361,5.36697,25.9575,0.405271,20.4323,6.56846,33.7166,0.998951,0.407034,2.54471,2.07915,9.0299,16.7225,0.858991,130.558,15.4369,26.0134,0.0197681,2.59461,2.0595,0.00572458,2.18059,9.96538,0.0241469,0.116617,1.03396,27.749,0.988093,0.000710464,1.31755,
52,59.7072,86.9645,117.187,0.686569,0.825837,3.66773,34.8975,0.288671,2.44779,4.46859,37.2128,0.996348,0.0478072,2.11143,2.11158,5.9751,73.4752,0.791483,20.1695,12.3969,37.269,0.0146592,0.358156,0.9305,0.00869537,2.21112,13.3173,0.0241469,0.0309491,1.03396,27.7642,0.992923,0.000285379,1.41768,
53,59.7072,128.417,242.792,0.464948,0.931352,4.78777,23.5669,0.523058,54.7371,6.95518,32.3854,0.995444,1.09209,2.44239,1.9274,7.6017,11.9868,1.21779,218.993,17.067,19.3955,0.00863194,4.18213,1.68545,0.0229252,2.02188,9.74314,0.0241469,0.0464477,1.03396,27.7642,0.985797,0.000285379,0.859406,
54,59.6164,137.408,316.805,0.433863,0.736793,3.19247,24.2097,0.283566,66.5559,4.60491,33.2563,0.992968,1.31512,2.26048,2.06966,4.11191,3.03772,0.779868,279.572,13.0208,30.1996,0.00432151,5.50706,1.33538,0.0218706,2.21112,9.4031,0.0241469,0.0464477,1.03396,27.7642,0.968471,0.000285379,1.41768,
55,59.6164,192.157,432.353,0.310249,1.29937,3.38935,29.1058,0.645279,105.91,8.48108,37.7776,0.999331,2.0772,2.47145,2.58942,4.31243,24.0248,1.71401,393.55,19.6568,35.2766,0.0210526,7.68814,1.62995,0.0218706,1.39547,12.5946,0.0161845,0.0464477,1.03396,24.2245,0.992562,0.000285379,0.818116,
56,59.4262,150.974,319.657,0.393618,0.5764,3.21884,23.6111,0.346593,75.2001,6.01951,37.3406,0.993467,1.49458,2.17306,1.82646,3.8329,7.24855,1.04492,271.237,15.9808,33.0781,0.00761315,5.38783,1.34311,0.0218706,1.90429,1.47992,0.0253675,0.0464477,1.03396,27.7642,0.966191,0.000285379,1.41768,
57,59.4262,93.3029,167.339,0.636917,0.514124,3.63032,28.89,0.323878,21.4087,4.17479,30.6123,0.996601,0.426089,2.3262,1.45269,5.39839,32.1202,0.868331,151.313,12.3281,14.7236,0.0163224,3.03753,1.43174,0.0218706,2.23237,9.50606,0.0248038,0.0464477,1.03396,27.7479,0.992927,0.000285379,1.41768,
58,59.4262,163.015,337.199,0.364543,0.904801,3.25545,46.7278,0.586185,63.2428,6.45087,37.0052,0.998906,1.24776,2.59571,2.18113,3.15561,104.307,1.58856,277.538,15.7574,34.0238,0.0211279,5.46303,2.06169,0.00526565,2.28603,8.33495,0.0250844,0.0464477,1.03396,27.7479,0.98006,0.000285379,1.41768,
59,59.4262,130.663,294.511,0.454805,0.835154,3.1167,27.3679,0.236864,57.7428,4.08053,32.8147,0.997269,1.13945,2.33172,2.28727,3.78632,25.8511,0.458475,262.23,11.3203,17.6962,0.0167168,5.15445,1.55151,0.00511623,2.2487,10.7573,0.0250071,0.0464477,1.03396,27.749,0.993221,0.000285379,1.41768,
60,59.3984,88.4373,165.284,0.671645,0.41715,3.3042,24.3967,0.257613,21.4048,3.65646,31.453,0.994118,0.42608,2.12712,1.21267,4.81795,4.05153,0.580664,143.54,11.9092,21.3776,0.0051429,2.94831,0.977439,0.00511623,2.27416,8.90705,0.0253675,0.0402785,1.03396,27.749,0.993195,0.000285379,1.41768,
61,59.3586,133.312,296.867,0.44526,1.04542,4.18248,29.148,0.428191,55.451,7.354,31.1687,1.00238,1.09196,2.44003,2.69614,5.90564,25.7478,1.10831,273.02,16.5711,13.411,0.0324728,5.41127,1.65121,0.00511623,2.27416,9.0324,0.0244571,0.0310346,1.03396,23.6172,0.986743,0.000285379,1.41768,
62,59.3586,137.601,265.073,0.431381,1.08124,4.90177,31.8746,0.517021,42.4278,8.3747,44.1115,0.996046,0.842433,2.47431,2.69139,7.4594,57.4859,1.40044,196.465,19.353,48.6985,0.0182994,3.91009,1.7147,0.0108946,2.27416,10.7122,0.0244571,0.0128724,1.0774,27.7881,0.95914,0.000285379,1.41768,
