Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
10,102.082,259.453,251.758,0.39345,3.10333,15.4291,18.7801,2.29955,115.918,25.2473,70.1782,0.986695,2.31523,5.19536,2.64911,7.22563,19.3514,1.61991,227.183,11.8831,29.2218,0.0193677,4.53843,2.13134,0.0461635,0.989193,9.3742,0.0368596,0.462597,4.2705,53.0406,0.958637,0.00536309,0.901718,
11,102.082,321.049,319.143,0.317964,3.30068,14.6837,16.2416,2.05826,186.507,23.9205,64.4184,0.985015,3.71904,5.21487,2.52486,7.47853,5.5937,1.64021,298.059,12.9946,8.84596,0.0123584,5.80185,2.23212,0.0461635,1.07861,9.35232,0.0368596,0.462597,1.97749,55.3322,0.972827,0.00536309,0.901718,
12,102.082,234.063,204.268,0.436129,2.57733,14.3424,16.6061,1.94176,99.4345,25.1589,65.9045,0.983296,1.98882,5.12584,2.11286,7.06262,4.96584,1.45002,207.817,10.1079,16.8466,0.00929933,4.14632,2.06186,0.0461635,1.07861,9.42046,0.0368596,0.462597,6.35654,52.9385,0.970549,0.00536309,0.901718,
13,102.082,297.32,325.065,0.34334,2.8817,14.819,16.4185,1.9183,157.572,25.6681,68.7969,0.983121,3.1356,5.12718,2.47092,6.71623,5.00479,1.57472,290.475,9.83824,29.0851,0.0104854,5.98367,2.11166,0.0461635,1.07861,11.0195,0.0368596,0.462597,6.35654,53.5076,0.954239,0.00536309,0.901718,
14,102.082,221.623,155.203,0.460611,2.76986,14.7611,19.0642,1.96272,86.1377,24.2285,64.7078,0.985823,1.72415,5.28114,2.44893,6.86224,19.4671,1.58022,167.261,8.94744,10.1117,0.0192779,3.33948,2.00505,0.0461635,0.889734,12.7223,0.0368596,0.462597,4.68835,56.2113,0.973731,0.00536309,0.901718,
15,102.082,307.19,380.106,0.332309,3.03989,14.5209,16.2866,1.82363,169.088,24.5246,67.8681,0.984107,3.35536,5.69815,2.42883,7.13356,5.48723,1.21448,352.624,12.4221,30.6631,0.0120103,7.15182,2.17664,0.0461635,1.07861,11.272,0.0368596,0.462597,4.68835,54.4313,0.955255,0.00536309,1.26214,
16,102.082,280.244,343.231,0.364261,2.82642,15.0739,19.2334,1.74958,144.222,23.1842,64.2559,0.986955,2.85821,5.85307,2.43201,6.938,20.6774,1.22939,332.361,11.2641,11.7135,0.0193757,6.59843,2.23291,0.0461635,1.07861,11.7266,0.0368596,0.462597,4.68835,54.4715,0.973943,0.00536309,1.21663,
17,102.082,226.439,192.34,0.450815,3.13822,13.7317,18.5268,1.58759,90.8973,23.288,67.8698,0.987183,1.81801,4.59422,2.6421,7.43169,9.82969,1.21558,180.894,13.3157,17.7351,0.0235681,3.60599,2.51046,0.0461635,1.07861,9.99689,0.0368596,0.462597,1.09749,56.2113,0.9725,0.00536309,0.827199,
18,102.082,254.693,237.681,0.400803,2.54082,13.3098,17.0974,1.75546,124.675,24.1121,62.6881,0.983462,2.49056,5.04073,2.20892,6.86832,6.19561,1.32162,227.365,11.2944,8.94963,0.0108712,4.55189,2.10684,0.0461635,1.07861,1.73,0.0368596,0.462597,4.68835,54.6521,0.973754,0.00536309,1.26214,
19,102.082,218.118,188.513,0.468013,2.60358,13.7643,16.9383,1.47762,88.0894,23.5283,64.0409,0.98329,1.76236,4.92949,2.47547,7.02284,4.71311,1.25078,176.396,12.7457,19.689,0.0117749,3.51468,1.96167,0.0461635,1.07861,9.40435,0.0368596,0.462597,4.6635,56.2113,0.974104,0.00536309,1.26214,
20,102.082,251.97,214.197,0.405135,2.55055,13.4092,22.6552,1.57673,115.408,22.6806,64.7346,0.987635,2.30899,5.65881,2.47013,7.87296,39.224,1.36112,204.324,14.0087,23.2644,0.0188745,4.04273,2.29331,0.0461635,1.06348,11.3683,0.0368596,0.462597,2.96565,54.3117,0.97409,0.00536309,1.26214,
21,102.082,233.285,166.141,0.437584,2.2557,11.8074,18.112,1.27796,108.534,19.1694,63.8079,0.983798,2.17328,5.16431,2.18649,7.22856,7.02414,1.15536,161.749,9.07768,8.60233,0.0104322,3.24006,1.88697,0.0461635,0.949281,12.7361,0.0368596,0.462597,2.96565,56.2113,0.974239,0.00536309,1.26214,
22,102.082,299.412,319.888,0.340942,2.0363,12.6146,19.9876,1.33976,169.644,20.9993,63.5432,0.98686,3.37858,4.88149,1.93062,7.10035,20.2345,1.11313,313.306,9.85758,10.2536,0.0203369,6.18999,1.97556,0.0461635,0.910006,10.9183,0.0368596,0.462597,2.96565,53.198,0.974587,0.00536309,1.16773,
23,102.082,221.771,166.383,0.460304,2.61929,11.7689,18.2765,1.23011,95.1132,20.4696,64.4645,0.98424,1.90365,4.94064,2.27015,7.34384,5.82751,1.10348,177.614,8.1923,9.57959,0.00998514,3.54616,2.28322,0.0461635,0.961538,9.88797,0.0368596,0.462597,2.96565,56.2113,0.97328,0.00536309,0.916487,
24,102.082,289.185,298.243,0.352998,2.81761,11.9429,17.4525,1.63242,151.52,25.1104,69.8152,0.982892,3.02669,4.8841,2.71164,6.64707,5.69922,1.58592,260.461,12.4543,31.69,0.0106201,4.98539,1.88074,0.0461635,0.882708,3.26555,0.0516227,0.462597,2.96565,54.729,0.964999,0.00536309,1.26214,
25,102.082,279.328,269.524,0.365455,3.05823,13.026,16.8285,1.19491,150.477,22.0189,63.4558,0.981987,3.00888,5.27807,2.3646,6.44586,5.11987,1.2833,249.701,12.0308,17.346,0.00897873,4.98571,1.79338,0.0461635,1.06348,9.46425,0.0393357,0.462597,2.96565,52.862,0.969759,0.00536309,1.26214,
26,102.082,277.473,288.3,0.367899,2.32179,12.1009,17.8778,1.37537,138.67,21.8979,74.4026,0.985291,2.76854,5.07208,2.29568,7.50735,6.04943,1.54383,264.062,11.7038,42.5449,0.0142457,5.26277,1.99593,0.0461635,1.06348,7.93304,0.0466307,0.462597,2.96565,49.2669,0.949454,0.00536309,1.13488,
27,102.082,271.192,312.045,0.376419,2.4201,12.5525,20.6581,1.36053,133.116,24.6032,67.4998,0.988118,2.64656,5.34727,2.37778,7.2271,23.4346,1.39197,296.783,13.0295,26.5735,0.0219068,5.85398,1.9224,0.0461635,1.06348,4.60532,0.0516227,0.462597,2.96565,55.6276,0.974146,0.00536309,1.26214,
28,102.082,274.25,213.126,0.372222,2.85893,12.4323,25.9992,1.26877,132.723,23.2161,66.7111,0.985675,2.65706,5.39768,2.47606,7.00096,58.857,1.03255,193.043,11.3955,14.9203,0.0180769,3.86495,2.42657,0.0461635,1.0579,11.2146,0.0385843,0.462597,2.96565,56.2113,0.972858,0.00536309,0.649241,
29,102.082,311.049,382.402,0.328185,2.80012,13.0638,23.0133,1.77622,167.659,24.5465,68.7794,0.991091,3.32609,5.09343,2.49795,7.38592,35.2787,1.61227,358.012,13.7289,29.0901,0.0292724,7.07529,1.82434,0.0461635,1.06348,10.3672,0.0516227,0.462597,2.96565,54.0834,0.974417,0.00536309,1.26214,
30,102.082,239.367,196.897,0.426466,3.1326,10.7303,18.2915,1.4687,112.262,21.6725,63.3747,0.983932,2.24467,5.20673,2.44558,6.54695,7.20344,1.49055,207.705,9.57033,8.88365,0.0121408,3.95608,2.22737,0.0461635,1.06348,4.43505,0.0516227,0.462597,2.96565,55.7895,0.974256,0.00536309,0.773349,
31,102.082,235.688,177.971,0.433122,2.26385,12.0948,18.3043,1.47321,107.954,22.2243,63.429,0.986445,2.16115,4.797,2.1202,8.19299,5.72679,1.07531,176.738,13.1426,12.6963,0.0149156,3.5392,2.06904,0.0461635,0.931678,12.2505,0.0516227,0.462597,2.38941,52.9721,0.97307,0.00536309,1.08328,
32,102.082,279.579,296.225,0.365127,2.19947,11.2264,18.2253,1.18229,152.25,21.2767,64.5445,0.983535,3.03456,4.6565,1.95429,6.60757,5.46712,1.09444,273.852,10.4773,10.6159,0.0102421,5.58288,2.1962,0.0461635,1.06348,12.0304,0.0516227,0.462597,2.96565,55.2879,0.97258,0.00536309,0.598711,
33,102.082,267.871,351.939,0.381086,2.48265,13.2373,17.4127,1.29019,136.96,22.3702,65.28,0.984373,2.71339,5.14015,2.42934,6.82512,5.56466,1.23198,327.646,11.0123,15.7798,0.0131591,6.41723,2.12964,0.0461635,1.06348,12.715,0.0183365,0.462597,2.96565,56.2113,0.974107,0.00536309,1.26214,
34,102.082,242.962,173.924,0.420155,1.92331,10.9882,19.6981,1.19476,118.141,19.813,63.253,0.98798,2.36533,4.59712,2.05185,7.6292,9.30592,1.13184,176.523,13.0056,8.1657,0.0238139,3.53151,2.13024,0.0461635,1.06348,12.467,0.0151387,0.462597,2.70438,54.7386,0.973307,0.00536309,0.963347,
35,102.082,275.31,264.779,0.370788,2.03156,13.189,17.3327,1.40415,147.864,19.8328,64.844,0.985152,2.95702,4.87046,1.96101,7.41544,6.63859,1.41642,249.998,9.68034,8.57491,0.0119886,5.17117,2.13642,0.0461635,0.733102,9.7415,0.0516227,0.462597,2.96565,51.9416,0.972845,0.00536309,1.26214,
36,102.082,232.299,210.181,0.439443,2.31686,11.8451,21.4281,1.22841,98.6256,21.831,67.483,0.99043,1.97243,4.57771,2.35437,7.52542,18.7116,1.12481,209.161,13.0553,23.9959,0.0295886,4.18132,2.35688,0.0388602,0.977032,9.301,0.0124188,0.462597,2.96565,55.9416,0.973632,0.00536309,0.719866,
37,102.082,273.529,309.197,0.373203,1.92938,11.1445,18.8087,1.27763,147.653,18.6771,65.4336,0.986279,2.94231,4.67654,2.15791,7.31836,7.06324,1.14709,293.108,12.0747,14.7977,0.0148129,5.72462,2.02638,0.0461635,0.418783,9.02974,0.0188266,0.462597,2.96565,54.5012,0.972692,0.00536309,0.719866,
38,102.082,231.443,190.332,0.441067,1.87187,12.8346,18.6423,1.65978,107.754,18.7525,61.9352,0.986579,2.15645,4.84954,2.16553,7.1672,8.61177,1.37578,185.116,9.13601,6.19173,0.0224194,3.76996,1.81771,0.0461635,0.977032,11.0089,0.0516227,0.462597,1.8083,54.0192,0.973659,0.00536309,0.719866,
39,102.082,292.46,326.573,0.349046,1.92724,11.7794,18.2994,1.33183,168.104,17.8489,63.7841,0.98693,3.34972,5.04788,1.97416,6.70525,6.49082,1.2438,304.369,9.87019,14.4076,0.0250681,5.95587,1.97767,0.0461635,0.977032,9.18592,0.0134607,0.462597,2.96565,55.0722,0.97457,0.00536309,0.683788,
40,102.082,217.826,155.517,0.468639,2.07131,13.168,23.0319,1.68705,86.4098,20.2957,63.0349,0.988655,1.72992,5.40884,1.8506,6.82479,33.6859,1.38318,173.726,8.71768,12.7478,0.0283893,3.47151,1.93552,0.0461635,0.977032,12.9469,0.0516227,0.462597,2.96565,53.3373,0.974206,0.00536309,0.719866,
41,102.082,213.388,245.832,0.478386,1.74622,12.3247,18.8701,1.66653,84.1761,20.506,66.5763,0.988163,1.66964,4.86416,2.10417,7.43042,7.50855,1.36901,240.029,12.3073,27.6745,0.0267852,4.71526,2.07283,0.0147225,0.977032,12.3303,0.0516227,0.462597,1.34352,53.1589,0.97335,0.00536309,0.719866,
42,102.082,289.606,323.266,0.352485,2.05413,13.478,22.4519,1.45511,152.247,21.9654,67.1963,0.991872,3.02884,4.73776,2.57132,6.8207,24.5551,1.15254,307.271,13.4715,17.1979,0.0349446,6.12124,1.9933,0.0461635,1.06348,9.27688,0.0516227,0.462597,2.96565,55.8194,0.972167,0.00536309,0.65264,
43,102.082,267.094,298.211,0.382194,1.27358,11.4726,18.4717,1.2774,144.019,19.8006,62.2128,0.984347,2.86913,4.7133,1.79046,7.09527,6.86392,1.48712,286.801,10.6495,7.07236,0.0131904,5.66671,1.66611,0.0461635,1.05087,12.8305,0.0516227,0.462597,2.96565,54.5678,0.974778,0.00536309,1.4133,
44,102.082,301.783,355.957,0.338262,1.95146,11.5648,18.0992,1.24617,174.802,18.7684,66.1153,0.983748,3.48035,4.77169,2.29178,6.97327,5.79691,1.06586,328.719,15.0334,25.4028,0.01024,6.54177,1.91765,0.0461635,1.09671,9.99127,0.015976,0.462597,2.40397,55.8194,0.961337,0.00536309,1.2542,
45,102.082,281.805,319.474,0.362244,1.84909,11.2504,18.2245,1.11223,155.101,18.9194,66.5861,0.985053,3.08843,4.688,2.12624,6.9565,5.61712,0.984557,303.821,12.7745,22.3073,0.0132053,5.90787,2.16774,0.0461635,1.09671,7.9814,0.0128993,0.462597,3.38371,53.0727,0.973128,0.00536309,1.4133,
46,102.082,220.859,179.685,0.462204,1.67341,10.8967,29.9673,1.24184,81.9286,19.0933,68.8299,0.987204,1.6392,4.60129,2.13452,6.89565,78.4228,1.01328,164.99,11.1513,33.5841,0.0190071,3.29788,2.24891,0.0461635,1.09671,12.9469,0.0242803,0.462597,2.4435,49.563,0.972507,0.00536309,0.800663,
47,102.082,264.38,250.978,0.386117,1.7848,11.3771,19.2599,1.49984,134.878,23.5418,63.7346,0.98762,2.69804,4.61892,1.94145,6.998,13.2508,1.21155,227.926,31.7979,12.5718,0.0233762,4.70688,2.05769,0.0461635,1.09671,9.47733,0.0513971,0.462597,3.62871,53.3141,0.971346,0.00536309,0.396257,
48,102.082,213.646,192.136,0.477808,1.42429,8.85926,21.9092,1.38727,92.302,16.4962,64.2961,0.989709,1.8445,4.13779,1.98041,7.46158,10.6517,1.31348,175.037,12.7442,26.7507,0.0224347,3.36187,2.09033,0.0461635,1.09671,11.126,0.0343002,0.462597,0.870468,53.5356,0.95716,0.00536309,0.934161,
49,97.1543,244.487,283.503,0.39738,1.7391,9.80846,19.394,1.19108,121.21,16.1196,67.0752,0.984273,2.41897,4.54648,1.94344,6.93461,6.51932,1.04124,240.628,11.5848,33.6744,0.0127621,4.92967,2.01232,0.0461635,0.950033,10.4392,0.0264408,0.462597,3.01157,54.4921,0.952763,0.00536309,1.4133,
50,97.1543,276.736,310.182,0.351073,2.04387,10.1583,30.8507,1.33602,133.37,18.7387,71.8309,0.985562,2.66213,4.75957,2.74402,6.62149,81.7808,1.32526,255.035,12.9168,41.1558,0.0178843,5.07873,2.23047,0.0461635,1.03678,9.62079,0.0264408,0.48398,2.79113,55.5084,0.951655,0.00539258,0.978416,
51,97.1543,189.999,155.832,0.511341,1.80366,8.39055,23.736,0.943965,69.4882,17.3307,61.9521,0.989788,1.39048,3.97367,1.71032,6.94888,20.856,1.03317,166.205,12.1272,12.3613,0.0205341,3.20621,2.17762,0.0461635,1.012,10.7269,0.0151116,0.578129,1.88412,55.747,0.9741,0.00539258,0.942242,
52,97.1543,247.835,259.908,0.392012,1.64446,8.17363,21.0392,1.18076,124.267,16.7821,66.778,0.987874,2.48402,4.49811,2.18137,6.5969,7.14794,1.36356,233.551,12.5544,22.6287,0.0120011,4.66241,2.27746,0.0461635,1.0006,10.418,0.011414,0.578129,2.36335,52.714,0.963834,0.00539258,0.832629,
53,97.1543,230.038,333.462,0.422341,1.89791,7.16151,22.9596,1.36066,104.553,17.1678,67.6015,0.992661,2.07329,4.26994,2.44808,6.85477,9.46431,1.34492,300.814,13.0167,22.1173,0.0234142,5.93459,2.26916,0.0461635,0.943881,9.33545,0.0126115,0.578129,2.68664,55.8194,0.969891,0.00539258,0.572539,
54,97.1543,252.98,321.883,0.384039,1.76098,7.33394,35.8539,1.31606,115.66,15.2672,67.9841,0.99567,2.29793,4.51029,2.2509,6.29166,70.2938,1.22882,290.848,13.4047,24.6296,0.0300714,5.78685,2.25668,0.0391406,0.982713,9.2788,0.0126115,0.578129,1.15191,52.3921,0.965848,0.00539258,0.978416,
55,97.1543,235.308,313.977,0.412882,1.31261,7.02358,26.9064,1.26988,108.965,16.7053,65.878,0.990696,2.16354,4.09252,1.62338,5.7645,36.4739,1.02329,284.139,11.8896,21.2957,0.0204629,5.60244,2.09339,0.0391406,0.982713,10.2943,0.0126115,0.578129,1.15191,55.6546,0.969265,0.00539258,0.978416,
56,97.1543,232.902,351.122,0.417147,1.33022,6.36267,29.2369,1.25652,106.49,18.5643,62.421,0.990461,2.10256,4.14669,1.86162,5.21705,49.6528,1.19481,321.783,22.6855,11.844,0.0184198,6.30678,2.15811,0.0391406,0.982713,13.044,0.0126115,0.578129,1.15191,53.8315,0.974215,0.00539258,0.579298,
57,97.1543,187.572,260.665,0.517958,1.44397,5.61491,23.8946,1.40651,71.7547,14.1304,63.2032,0.993394,1.42545,3.70478,1.98854,5.81231,9.69019,1.55686,241.982,13.7128,21.6743,0.0220032,4.80182,1.83923,0.0391406,0.947136,8.37653,0.0126115,0.578129,0.821308,55.2515,0.969411,0.00539258,0.978416,
58,97.1543,192.176,264.723,0.505549,1.21664,4.97687,35.773,1.24686,66.6167,13.9591,62.1651,0.995078,1.31924,3.90736,2.00413,5.87652,84.2576,1.11828,235.909,13.4976,13.8541,0.0185498,4.63493,2.05292,0.0391406,0.967126,12.3277,0.0126115,0.578129,1.15191,55.8194,0.974334,0.00539258,0.978416,
59,97.1543,178.602,200.122,0.543971,1.23186,4.313,29.6352,1.35303,59.4927,14.5525,62.4142,0.995371,1.18664,3.42736,1.84743,4.62086,27.6841,1.07048,160.694,13.2769,15.526,0.0184099,3.20335,1.70593,0.0461635,0.958794,10.2288,0.0126115,0.592305,2.68578,54.2887,0.972683,0.00539258,0.874193,
60,97.1543,197.004,296.304,0.493158,1.30644,3.26757,34.1704,1.36696,69.1234,19.2518,63.0698,0.998204,1.36754,3.0821,1.80949,3.35329,42.73,1.42848,242.73,50.0688,22.8045,0.0194617,4.7766,1.80444,0.0461635,0.943538,16.495,0.0126115,0.592305,1.41502,55.7527,0.974783,0.00539258,0.894529,
61,95.4484,192.688,277.458,0.495353,1.43474,4.14073,25.002,1.38056,79.2709,12.9877,63.0477,0.99709,1.57269,2.85339,1.93719,6.73179,10.5367,1.43508,261.654,16.9768,21.2784,0.0111297,5.17024,1.51551,0.0461635,0.943538,8.35197,0.0126115,0.592305,2.68578,55.9182,0.975704,0.00613874,0.678948,
62,95.4234,200.718,340.448,0.475409,1.51855,3.3034,37.5849,1.15098,75.5189,14.0002,62.2514,1.00043,1.49177,2.89785,2.16029,6.03005,80.9953,1.40785,293.067,24.6048,20.0485,0.0148767,5.78588,1.75221,0.0395183,0.935879,9.58354,0.0126115,0.533065,0.736433,53.8117,0.976854,0.00467916,0.833244,
63,94.2044,210.794,386.851,0.446903,1.66241,3.41556,32.7145,1.14138,90.7397,10.9487,64.2246,1.00133,1.78332,3.1625,2.20558,6.88205,48.3765,1.64329,348.819,16.0093,24.4184,0.0176546,6.85307,1.58761,0.0101959,0.935879,12.0341,0.0126115,0.592305,0.736433,55.9182,0.959767,0.00460354,0.833244,
64,94.2044,192.368,372.955,0.489711,1.39046,1.83805,26.5357,0.583566,88.6421,9.25226,57.9753,0.998883,1.74332,3.40796,1.83576,3.44166,7.03999,0.834541,346.636,27.6606,5.47667,0.00375812,6.81518,1.7246,0.0101959,0.976339,9.55329,0.0126115,0.643976,0.736433,52.9487,0.995884,0.00405685,1.36709,
65,94.2044,137.897,147.134,0.683153,1.65466,3.96646,25.9738,0.604127,24.5612,9.64213,66.8572,1.00063,0.487978,3.14839,2.39604,8.67429,4.49316,0.723359,133.351,18.8932,36.3395,0.00723638,2.6032,2.11945,0.0101959,0.991835,11.0689,0.0126115,0.643976,0.723087,55.9189,0.996018,0.00405685,1.35222,
66,93.9692,150.368,254.481,0.624929,1.56323,2.43429,33.9807,0.868323,36.5149,7.22393,63.168,1.00421,0.713432,2.89691,2.13673,5.21595,44.2688,1.35843,227.635,15.4048,26.3986,0.0236748,4.45487,1.21402,0.0101959,0.960688,14.5694,0.0256126,0.643976,0.642907,55.9189,0.997153,0.00405685,1.25342,
67,91.8439,164.717,249.529,0.557587,1.57322,2.82677,28.5166,0.912914,55.1689,7.13385,63.4333,1.00004,1.09685,3.05421,2.33316,5.65265,17.6765,1.52486,210.453,15.5786,26.7409,0.0182395,4.20114,1.47496,0.0101959,0.982474,8.90861,0.0264408,0.586013,0.642907,53.2275,0.958074,0.00458115,1.35521,
68,91.8439,171.876,301.04,0.534361,1.2952,2.97536,27.1564,0.91743,66.1914,6.97906,60.8677,1.00169,1.30409,3.18765,2.05032,6.10412,6.20121,1.25766,274.973,16.2265,18.0997,0.0196107,5.41303,1.31156,0.0101959,1.02253,10.6831,0.0423573,0.700637,0.642907,55.9189,0.968986,0.00458115,1.70225,
69,91.2174,121.87,139.756,0.748478,0.963506,2.24811,27.6865,0.767161,20.268,5.08753,60.3664,1.00291,0.400426,3.07981,1.63646,4.85357,4.73381,1.04373,130.674,13.8464,20.5292,0.0207304,2.67043,0.923886,0.0264948,1.02253,13.0667,0.0399313,0.700637,0.596885,49.2576,0.997955,0.00458115,1.7131,
70,90.9245,130.877,165.29,0.694734,1.10052,1.98942,26.761,0.580269,29.532,4.74982,61.3079,0.999907,0.585557,3.27035,2.03409,4.19761,2.82973,0.827288,137.196,13.6009,21.4071,0.00890846,2.74355,1.16,0.0101795,1.08253,13.3075,0.0290355,0.65747,0.596885,56.1575,0.98264,0.00422252,2.05297,
71,90.9245,187.8,339.278,0.484157,1.21414,2.11854,26.1663,0.425697,85.9214,5.86117,60.1233,0.998018,1.69925,3.27173,2.2796,3.56275,4.23211,0.617595,304.603,16.4208,13.9389,0.0030247,5.9162,1.38133,0.0101795,1.07516,9.60693,0.0290355,0.65747,0.596885,56.5346,0.988174,0.00414871,2.09082,
72,90.9245,124.745,143.335,0.728881,0.89219,2.70201,30.4759,0.530855,19.4441,5.47646,60.691,1.00355,0.383041,3.14623,1.74287,5.42896,20.8406,0.92441,137.723,15.2902,20.2843,0.0238721,2.76192,0.795865,0.0101795,1.08608,10.7418,0.0197153,0.570746,0.473392,56.5346,0.982733,0.00414871,2.33377,
