Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.roll_center.z.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.camber_angle_l.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Heave.front.roll_center.z.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Heave.front.roll_center.z.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.mechanical_trail_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.camber_angle_l.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
46,54.0802,770.294,4528.08,0.0702072,660.215,1.08966,9.74428,3.76047,3.31616,7.64191,0.539088,1.15616,49.2307,31.1313,0.477473,1.9919,4467.01,0.819082,18.4078,21.7777,3.92385,14.4264,0.42444,1.2183,75.9206,69.5311,0.544459,1.80956,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.0866053,0.0320534,0.259696,6.49566,0.0944828,0.325079,
47,54.0802,132.705,195.357,0.407523,39.328,1.23666,13.2165,0.669058,2.64721,12.5666,0.487455,0.803866,32.3644,26.9423,0.606005,1.83647,510.252,1.05529,24.7709,3.13014,1.52472,28.0982,0.111717,0.76527,96.6845,14.3316,0.705785,0.810638,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.145449,0.0320534,0.259696,10.9545,0.0944828,0.325079,
48,54.0802,202.465,372.774,0.267108,47.1357,1.18629,9.5036,0.614673,2.6998,8.41663,0.505776,1.09029,56.4892,72.7249,0.540236,1.55823,105.601,1.07634,12.4282,0.485208,1.61166,16.0511,0.119259,1.06795,107.942,293.779,0.574374,0.589839,6.65993,0.0305215,0.0916775,0.125741,0.033263,0.145573,0.197448,0.0320534,0.259696,6.56757,0.0944828,0.325079,
49,54.0802,164.94,244.611,0.327877,46.0951,1.36419,11.967,0.787246,3.16663,10.6034,0.504382,1.24242,49.8852,37.0242,0.614258,1.68638,107.033,1.07784,18.0279,0.738678,2.57738,19.6402,0.0956614,1.66061,118.215,58.094,0.740061,0.756868,6.65993,0.0305215,0.0916775,0.120003,0.262504,0.145573,0.24746,0.0320534,0.259696,10.5431,0.0944828,0.325079,
50,54.0802,146.926,197.209,0.368078,46.5357,1.3889,8.73364,0.749564,2.54042,10.3901,0.492105,1.04873,45.0592,27.8241,0.573507,1.59002,112.597,1.17595,8.08313,0.471663,1.27951,17.6163,0.142372,1.21324,94.0598,23.6042,0.707984,0.645121,6.06137,0.0202935,0.0916775,0.125741,0.262504,0.0553683,0.114504,0.0320534,0.259696,5.38534,0.0944828,0.325079,
51,54.0802,110.472,183.13,0.489538,15.686,1.12815,6.33753,0.593264,2.87828,4.9126,0.512167,0.731472,24.2943,51.1965,0.602254,1.5993,20.3051,0.856207,3.98688,0.324746,1.17472,5.13515,0.0609108,0.761095,39.8251,170.226,0.618464,0.419286,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.382207,0.0320534,0.259696,12.7483,0.0944828,0.325079,
52,54.0802,124.702,206.164,0.433677,35.0098,1.14906,10.2248,0.764664,2.70742,8.1951,0.509398,0.962932,35.9776,26.8125,0.604803,1.78357,100.794,0.89981,18.2273,1.0367,1.41394,15.7215,0.147354,0.806887,87.4852,29.9701,0.73485,1.1802,6.65993,0.0305215,0.0916775,0.125741,0.262504,0.145573,0.117551,0.0320534,0.259696,12.4094,0.082091,0.193507,
53,54.0802,148.442,300.601,0.36432,40.3826,1.22026,9.74941,0.824875,2.7005,11.778,0.518696,0.884468,50.4061,27.7086,0.608305,1.65969,107.025,1.05845,14.8656,0.761113,1.44563,25.406,0.134234,0.737107,136.56,24.6384,0.700418,0.703415,6.65993,0.0305215,0.0916775,0.142195,0.262504,0.145573,0.205267,0.0320534,0.259696,6.34378,0.082091,0.454216,
54,48.6983,86.7792,58.217,0.561175,18.9188,1.31271,7.68169,0.669779,2.57768,6.87999,0.497343,0.867202,16.2425,29.1495,0.458397,1.5236,31.1724,0.958011,8.88504,0.410493,1.16168,10.4906,0.101078,0.740566,38.902,19.1681,0.607914,0.49574,6.65993,0.0305215,0.0916775,0.142195,0.262504,0.145573,0.022905,0.0320534,0.259696,8.34824,0.0461148,0.138315,
55,48.6983,88.8344,96.2727,0.548192,19.1357,1.33511,9.72023,0.70891,2.44309,8.222,0.482927,0.975707,18.7473,24.6638,0.641181,1.75842,35.738,1.01329,15.6517,0.416499,1.25227,16.5684,0.0957802,0.864002,37.251,9.32205,0.736808,1.04324,5.98484,0.0305215,0.0916775,0.142195,0.262504,0.103526,0.00747445,0.0104585,0.259696,8.05974,0.0762551,0.697563,
56,48.6983,94.7441,139.773,0.513998,13.7303,1.32066,9.46589,0.660384,2.50819,8.36551,0.500841,0.759002,29.3594,25.891,0.554289,1.62873,14.3235,0.864592,16.0259,0.353938,1.178,19.8943,0.0775389,0.690081,85.6874,10.0806,0.594491,0.7328,5.98484,0.0305215,0.0916775,0.142195,0.206447,0.145573,0.0721087,0.0320534,0.259696,9.35722,0.0944828,0.429851,
57,48.6983,128.175,206.063,0.379936,35.8523,1.11955,10.0421,0.785777,2.45412,8.87705,0.492291,0.826909,42.8715,22.4628,0.531122,1.8593,93.0304,0.797414,17.8937,0.786226,1.70944,16.5523,0.143622,0.855753,86.891,8.22769,0.519845,1.22435,5.98484,0.0305215,0.0916775,0.142195,0.205692,0.145573,0.171675,0.0320534,0.259696,4.58341,0.0944828,0.655923,
58,48.6983,96.2489,115.731,0.505962,28.089,1.2138,7.42834,0.737121,2.41564,9.82231,0.509692,0.772369,20.7606,21.8904,0.77379,1.83586,74.9057,0.722882,11.439,0.586556,1.31178,14.2269,0.122291,0.758916,45.5917,7.43075,0.774631,0.886081,5.27975,0.0305215,0.0916775,0.142195,0.16926,0.199917,0.233731,0.0320534,0.259696,8.9137,0.0944828,0.697563,
59,48.6983,139.678,266.877,0.348648,45.7351,1.40186,11.763,0.918375,2.66315,16.237,0.534158,0.824271,36.7968,20.0449,0.767802,1.99113,124.944,1.13022,24.6422,1.09123,2.21625,32.8593,0.156198,0.839165,110.351,6.80781,0.768065,2.13631,5.27975,0.0305215,0.0916775,0.142195,0.262504,0.199917,0.361868,0.0320534,0.259696,1.58251,0.0944828,0.596292,
60,48.6983,162.67,301.591,0.299369,45.1472,1.60406,10.8246,0.932148,2.93547,17.7071,0.501387,0.8019,59.148,20.4923,0.74075,1.83467,114.845,1.24653,16.2508,1.2811,2.73828,31.6655,0.104154,0.702393,147.042,6.32073,0.64545,1.29637,5.27975,0.0305215,0.0916775,0.142195,0.262504,0.152407,0.0815597,0.0123585,0.259696,2.51349,0.0944828,0.697563,
61,48.6983,84.4858,112.771,0.576408,19.0148,1.3453,7.76132,0.644805,2.39814,9.53863,0.505384,0.815596,19.5931,20.5485,0.588625,1.73159,52.3224,1.07383,14.61,0.447476,1.46382,17.9375,0.0521541,0.972357,52.9637,5.22371,0.604127,0.778813,5.27975,0.0305215,0.0916775,0.169725,0.262504,0.512756,0.382207,0.0138503,0.259696,11.5524,0.0944828,0.880398,
62,48.6983,110.521,182.165,0.440623,34.0508,1.60057,10.5657,0.758549,2.46025,12.6962,0.499314,1.05203,24.0357,20.4537,0.657068,1.69162,83.8517,1.26425,19.9068,0.653431,2.35209,27.5612,0.0830641,1.32869,67.1158,6.20616,0.613825,0.649231,5.27975,0.0305215,0.0916775,0.169725,0.262504,0.512756,0.192225,0.0138503,0.259696,9.63805,0.0944828,0.880398,
63,48.6983,120.441,232.282,0.404332,38.9095,1.26365,8.87245,0.819254,2.22535,10.2835,0.525564,0.736929,34.4242,19.9162,0.796964,1.66774,114.372,1.04525,18.0538,0.834263,1.58619,20.059,0.155497,0.778121,101.488,5.77535,0.760846,0.591043,5.27975,0.0305215,0.0916775,0.195628,0.281916,0.493547,0.126963,0.0138503,0.259696,3.37562,0.156844,0.750043,
64,48.6983,140.821,412.922,0.345818,22.4254,1.12616,7.774,0.835126,2.23671,5.83928,0.510395,0.717896,24.6824,72.2148,0.698974,1.75954,57.2296,0.971574,14.7126,1.55023,1.29094,8.16753,0.0688831,0.873753,86.7467,373.16,0.714422,0.825307,5.27975,0.0305215,0.0916775,0.287478,0.281916,0.339923,0.344471,0.0138503,0.259696,1.30993,0.103951,0.915056,
