Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.roll_center.z.avg,Heave.front.king_pin_inclination_l.avg,Heave.front.mechanical_trail_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Heave.front.scrub_radius_l.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Steering.front.camber_angle_l.avg,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.roll_center.z.std_dev,Heave.front.king_pin_inclination_l.std_dev,Heave.front.mechanical_trail_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Heave.front.scrub_radius_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Steering.front.camber_angle_l.std_dev,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.roll_center.z.best,Heave.front.king_pin_inclination_l.best,Heave.front.mechanical_trail_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Heave.front.scrub_radius_l.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Steering.front.camber_angle_l.best,
142,59.8812,105.631,210.63,0.566893,0.298548,7.12262,38.9878,6.22825,1.93252,0.259689,0.198997,0.596155,0.343084,4.55264,43.1121,0.3406,1.65764,1.24637,41.4493,49.1491,3.43987,6.62782,0.938156,0.600819,2.60969,0.0632428,19.0997,155.668,0.458049,0.317272,0.0133346,0.0101032,29.3272,2.48485,0.319321,0.0213976,0.0508717,0.0816744,0.142041,0.0131982,2.54061,0.237543,0.552761,
143,59.8812,95.4067,149.836,0.627642,0.164795,13.6714,43.4349,6.49243,3.15202,0.292754,0.156557,0.469147,0.337874,4.0107,21.1719,0.391473,1.66077,0.742386,54.6817,65.8023,3.6121,11.3444,1.09389,0.427809,1.86078,0.0600495,18.07,21.8027,0.560874,0.162805,0.0133346,0.0101032,29.3266,5.35041,0.312181,0.0213976,0.0512536,0.0823188,0.115285,0.0131982,2.77012,0.234613,1.36462,
144,59.8812,107.416,197.101,0.557472,0.0887853,15.8773,51.7604,6.77897,1.83879,0.215097,0.175084,0.678788,0.3528,6.66935,20.9125,0.36347,1.70433,0.335064,63.1659,101.1,4.90245,6.16474,0.788072,0.47073,2.3942,0.099755,27.7628,3.60024,0.48067,0.383581,0.0133346,0.0034744,29.3272,4.12713,0.321759,0.0213976,0.0512536,0.0823785,0.267374,0.0131982,3.09674,0.234663,1.25437,
145,59.8812,118.512,177.855,0.505275,0.189834,16.3961,58.9258,6.75761,3.58786,0.414542,0.315766,0.374229,0.34341,8.69068,20.4919,0.424992,1.59958,0.70498,58.9126,103.104,4.61868,9.60981,1.1856,0.701043,0.999654,0.145107,25.3002,3.84872,0.480972,0.318409,0.0110662,0.0034744,29.3272,1.77008,0.314622,0.0213976,0.0512536,0.0822118,0.0210692,0.0131982,2.99647,0.237811,0.358816,
146,59.8812,126.243,205.296,0.474332,0.173557,6.53641,72.5289,7.16761,2.43774,0.448697,0.251138,1.18519,0.392586,7.08261,25.9425,0.40566,1.69068,0.633748,27.9094,147.275,5.05133,7.21661,1.3112,0.708727,3.76818,0.193621,24.3024,35.3072,0.491904,0.249295,0.0133346,0.0034744,29.3272,5.78804,0.316635,0.0213976,0.0512536,0.0822816,0.337595,0.0131982,1.09331,0.23561,1.01663,
147,59.8629,105.671,188.76,0.5665,0.141333,10.2976,55.5625,6.74347,1.90626,0.225152,0.220338,0.714517,0.364059,6.04784,21.4753,0.323199,1.64991,0.500364,45.4829,116.193,5.03417,6.7545,0.966686,0.714988,2.72948,0.132902,25.7864,5.44647,0.297406,0.0827115,0.0133346,0.0034744,29.3272,1.75226,0.324599,0.0215661,0.0512536,0.0822816,0.266322,0.0152338,5.64175,0.230703,1.53157,
148,59.8629,108.284,173.766,0.55283,0.151629,17.2855,48.617,6.79053,3.05607,0.365122,0.20677,1.12601,0.346844,7.36486,21.0114,0.346985,1.6157,0.496623,68.1726,81.5478,4.76593,9.22721,1.19328,0.577639,4.01406,0.0735877,26.4421,3.8615,0.322241,0.158774,0.0133241,0.0034744,26.4332,5.26722,0.319964,0.0215661,0.0503786,0.0813611,0.0908854,0.0190309,0.762936,0.230703,0.807217,
149,59.8629,93.9041,167.068,0.63749,0.131675,11.5633,43.4098,6.74804,1.72097,0.165417,0.123221,0.679481,0.341554,4.97911,22.0635,0.31575,1.6624,0.636889,57.3679,68.552,4.59351,7.07776,0.750345,0.346967,3.21027,0.012795,24.2788,3.25204,0.323336,0.10703,0.0133346,0.0034744,29.3272,5.77914,0.321465,0.0215661,0.0512536,0.0823461,0.337343,0.0190309,16.4166,0.230703,1.63874,
150,59.8629,125.419,222.176,0.477304,0.190074,24.4446,51.9839,7.40708,4.96841,0.316769,0.219751,0.989499,0.350859,10.732,21.6946,0.411245,1.71004,0.642457,82.8597,92.5808,6.20942,15.7421,0.955922,0.620049,3.15139,0.0916725,35.0431,4.77036,0.496915,0.41795,0.0133346,0.0034744,28.9198,1.97333,0.317442,0.0215661,0.0512536,0.0817563,0.0333095,0.0167122,7.91408,0.230703,1.18222,
151,59.8629,103.335,173.073,0.579311,0.162637,10.1427,52.2006,7.12365,2.16921,0.319778,0.250094,0.365938,0.355204,6.39406,21.7081,0.411651,1.73092,0.771575,51.6106,94.8948,5.1897,7.3219,1.17551,0.778829,1.4847,0.125617,25.3836,1.8172,0.652461,0.463181,0.0133346,0.0034744,29.3272,5.7954,0.306625,0.0215661,0.0512536,0.0825937,0.137787,0.017889,15.3205,0.230703,1.63874,
152,59.8629,144.031,229.746,0.415624,0.254248,20.7506,74.8671,7.46211,4.27861,0.554233,0.485139,1.00951,0.380953,11.4539,20.376,0.452129,1.7068,0.71083,63.1437,135.163,6.03212,10.68,1.44681,1.28159,3.2497,0.180453,30.3545,4.53877,0.540654,0.475861,0.0133346,0.0034744,29.3272,4.31859,0.324599,0.0215661,0.0503427,0.0825937,0.0451112,0.0165679,0.162802,0.223797,0.369648,
153,59.8629,102.061,144.053,0.586542,0.0966474,16.9089,45.0138,6.19379,2.52759,0.311099,0.257922,0.778191,0.346946,5.39008,22.1962,0.408806,1.63071,0.419232,61.2946,66.3823,3.23225,7.92078,1.07395,0.69383,3.06224,0.0677678,20.2194,6.34077,0.56748,0.36046,0.0133314,0.0034744,29.3049,3.87967,0.324599,0.0215661,0.0503427,0.0825937,0.2198,0.0190309,9.71663,0.230703,0.363759,
154,59.8629,112.881,186.905,0.530318,0.233995,13.7776,55.2106,7.05059,3.03781,0.30411,0.336174,1.19985,0.346024,7.77362,21.4085,0.442537,1.75977,0.889152,57.0091,95.9533,5.01896,9.43592,0.940758,0.905828,3.46753,0.109507,25.7141,2.22607,0.596323,0.423683,0.0133346,0.0034744,29.3272,4.73972,0.324599,0.0215661,0.0503427,0.0827462,0.0653593,0.0141036,11.1476,0.230703,1.63812,
155,59.8629,129.733,192.917,0.461433,0.223596,20.6396,65.1732,6.27758,5.77796,0.45284,0.293255,1.0753,0.352117,7.13302,20.1092,0.512276,1.71267,0.723289,62.0563,117.298,3.14955,13.9158,1.19795,0.638755,3.27821,0.106087,20.9044,4.35697,0.697548,0.503285,0.0133346,0.0034744,29.3422,3.42395,0.323553,0.0215661,0.0503427,0.0825766,0.135405,0.0163371,4.99744,0.234908,0.416072,
156,59.8629,127.275,195.635,0.470342,0.24601,20.3506,53.4155,7.96745,3.70948,0.453629,0.299591,0.776885,0.356427,12.2675,25.3901,0.384134,1.65788,0.772828,64.7808,94.3388,6.59287,9.61998,1.28761,0.749217,2.23842,0.0842909,34.1181,28.5971,0.387592,0.290074,0.0133346,0.0034744,10.4722,4.40804,0.313844,0.0215661,0.0503427,0.0825766,0.259656,0.0134533,8.94912,0.233808,0.862887,
