Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.roll_center_gnd.z.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Roll.front.camber_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.roll_center_gnd.z.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Roll.front.camber_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.roll_center_gnd.z.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Roll.front.camber_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
118,35.8707,115.957,309.969,0.309343,0.781215,2.46677,48.5387,0.337394,41.2243,5.73355,11.6156,1.00864,0.809183,3.44207,2.48318,5.12814,135.641,0.957412,242.229,16.1016,37.1797,0.0278552,4.74468,1.41825,0.000334713,0.927663,14.1521,0.0358927,0.00343932,0.471741,2.08263,0.991235,2.64099e-05,2.68969,
119,35.8707,45.4104,48.2131,0.789921,0.18721,1.5869,31.5492,0.184665,0.332526,2.51659,4.88076,1.00647,0.00659506,3.1595,1.0868,3.35835,25.3664,0.602045,30.8849,10.0512,14.8487,0.0231203,0.795037,0.564208,0.000331878,0.927648,28.2248,0.0361826,0.00343932,0.471341,2.07733,1.0018,2.64099e-05,3.05081,
120,35.87,174.644,387.473,0.20539,0.951246,3.81768,26.1052,0.554762,111.584,7.5788,17.332,1.00157,2.21136,3.50667,2.53669,8.08475,7.74621,1.50817,346.075,18.171,58.5283,0.00908199,7.12094,1.46497,0.000331878,0.927655,9.45797,0.0461768,0.00343932,0.471341,2.08013,0.954223,2.64099e-05,3.05219,
121,35.87,126.542,313.537,0.283463,0.807677,3.17089,36.5181,0.336822,64.0307,6.77112,9.14463,1.00716,1.26527,3.48972,2.39398,7.00975,49.6811,0.917114,277.887,17.8478,26.0368,0.0204879,5.47092,1.37356,0.000331878,0.927656,10.2098,0.0367943,0.00343932,0.471341,2.08263,1.0005,2.64099e-05,3.05088,
122,35.87,91.4274,233.455,0.392333,0.675095,1.95059,30.9652,0.354576,38.8735,4.44251,9.13468,1.00588,0.773888,3.25146,2.33334,4.22215,21.6054,1.09264,192.21,14.1789,29.6337,0.0226671,3.85122,0.898065,0.000331878,0.927661,3.48304,0.0191064,0.00343932,0.471341,2.08263,0.970656,2.64099e-05,2.4878,
123,35.8693,121.811,278.08,0.294467,1.14821,3.17889,41.6739,0.341972,47.1523,7.99886,14.8218,1.01242,0.936654,3.5461,2.99935,5.8179,65.9874,0.852976,224.968,18.7891,34.6463,0.0369066,4.47789,1.50772,0.000331878,0.927641,2.76679,0.0367943,0.00343932,0.471341,2.07911,0.972154,1.64414e-05,2.97468,
124,35.8693,90.1186,279.484,0.398023,0.345642,1.5196,27.7887,0.222128,48.3977,2.90021,3.71245,1.00229,0.953269,3.27663,1.77254,4.00656,13.9785,1.01034,252.699,12.4212,10.2317,0.0102954,4.96187,1.17702,0.000331878,0.927639,11.0906,0.0367943,0.00343932,0.471341,2.07538,1.0018,1.64414e-05,3.05088,
125,35.8693,131.133,348.993,0.273534,0.963754,2.64928,27.7432,0.453539,72.5987,7.42293,13.2063,1.00631,1.42566,3.66311,2.65541,6.30622,3.92932,1.20255,318.7,18.6023,41.594,0.0205448,6.21034,1.84793,0.000331878,0.927641,12.3249,0.0367943,0.00343932,0.471341,2.07911,1.0018,2.64099e-05,3.05088,
126,35.8693,116.669,362.165,0.307444,0.760966,2.35655,27.3087,0.26468,66.4417,4.79942,9.15891,1.00362,1.30106,3.27378,2.65214,6.29607,3.68691,0.893401,322.383,14.9192,26.4075,0.00926739,6.31205,1.32719,0.000331878,0.927627,12.344,0.0367943,0.00343932,0.471341,2.07325,0.985826,2.64099e-05,2.56297,
127,35.8693,99.5273,303.252,0.360397,0.544267,2.01851,27.5036,0.197868,53.6998,4.01504,6.16072,1.00232,1.0571,3.32804,2.22074,5.27073,3.31254,0.642367,270.006,14.1393,20.7685,0.00766311,5.32823,1.44842,0.000339531,0.927662,10.6046,0.0367943,0.00394462,0.471341,2.08161,0.971882,1.5603e-05,2.11793,
